,date,anxiety,closing,entrepreneur,home,startup,bankruptcy,compensation,fired,layoff,tax,benefits,confidence,good,pink slip,unemployment,car,expect,happy,start business,better,worse,future,expectations,interest rate
0,2013-01-06,3,1,0,76,2,3,3,3,1,55,14,0,70,0,13,79,2,19,0,14,5,23,2,4
1,2013-01-13,2,2,1,74,2,4,2,3,0,49,17,1,75,0,12,75,2,17,0,16,7,33,4,2
2,2013-01-20,3,2,0,78,1,2,2,4,0,77,14,2,75,0,11,75,1,17,0,16,5,19,4,2
3,2013-01-27,3,3,1,72,1,4,1,2,0,100,16,1,76,0,11,69,1,17,0,16,7,27,4,5
4,2013-02-03,3,2,0,77,2,2,2,4,1,87,13,2,67,0,10,72,1,20,0,16,6,33,3,4
5,2013-02-10,4,2,0,77,2,3,2,4,0,85,15,1,78,0,9,73,2,24,0,14,3,28,4,4
6,2013-02-17,2,4,0,68,2,3,3,3,1,78,17,3,84,0,6,71,1,19,0,15,4,28,2,7
7,2013-02-24,4,5,1,68,1,4,2,3,1,62,15,3,75,0,9,67,1,18,0,16,2,27,2,4
8,2013-03-03,2,5,1,71,2,2,3,3,1,57,12,3,73,0,8,71,1,22,0,14,3,23,4,5
9,2013-03-10,4,1,0,69,2,4,2,3,0,62,12,1,77,0,8,75,1,16,0,13,4,20,2,5
10,2013-03-17,3,2,1,59,2,3,3,2,1,62,15,1,72,0,10,72,2,19,0,15,5,23,5,4
11,2013-03-24,3,4,1,72,1,2,2,4,2,56,16,2,95,0,7,79,0,21,0,17,4,27,4,6
12,2013-03-31,3,2,1,78,1,3,2,3,1,66,17,1,80,0,6,70,3,21,0,15,5,32,4,3
13,2013-04-07,4,3,0,73,2,2,2,5,1,70,15,1,68,0,8,71,3,21,0,17,6,34,4,2
14,2013-04-14,3,4,1,73,2,2,2,3,1,65,15,1,74,0,12,66,2,17,0,16,6,29,4,5
15,2013-04-21,3,4,1,66,1,4,1,3,1,33,21,3,75,0,10,62,2,16,0,15,2,31,4,8
16,2013-04-28,2,2,1,63,1,2,2,2,0,30,14,2,66,0,9,70,1,18,0,17,6,32,2,6
17,2013-05-05,3,2,0,76,1,3,3,3,1,27,16,1,78,0,8,72,2,27,0,20,5,20,5,4
18,2013-05-12,2,3,1,81,2,3,2,4,1,31,13,1,71,0,7,80,1,23,0,15,10,22,2,4
19,2013-05-19,3,2,1,74,1,3,3,2,0,28,15,1,72,0,7,77,2,22,0,12,4,22,5,8
20,2013-05-26,2,2,1,80,2,1,3,4,0,22,14,1,73,0,11,80,2,18,0,14,4,22,5,6
21,2013-06-02,3,3,2,75,1,4,1,1,1,27,14,1,74,0,9,84,2,19,0,22,3,17,4,4
22,2013-06-09,3,2,0,74,2,4,2,2,0,25,11,3,75,0,13,87,2,17,0,16,6,21,3,7
23,2013-06-16,2,1,0,80,1,1,3,4,0,23,10,1,70,0,12,82,2,23,0,16,5,29,4,8
24,2013-06-23,2,2,1,79,1,4,1,8,1,28,15,1,63,0,11,81,1,16,0,14,3,21,8,6
25,2013-06-30,3,1,1,73,2,3,1,6,1,22,13,1,69,0,12,76,4,20,0,16,7,21,3,9
26,2013-07-07,2,2,1,79,2,4,2,4,1,24,15,1,66,0,11,83,2,17,0,17,2,25,2,4
27,2013-07-14,2,2,0,77,3,5,2,3,1,28,14,1,67,0,10,77,2,17,0,18,5,18,4,5
28,2013-07-21,2,2,0,78,1,4,1,5,1,26,13,1,67,0,12,78,2,16,0,19,4,29,2,2
29,2013-07-28,3,2,1,77,1,2,2,3,1,32,14,2,60,0,11,80,1,18,0,17,6,26,2,3
30,2013-08-04,3,2,1,74,2,1,2,3,0,22,16,1,73,0,8,78,1,17,0,18,6,27,3,4
31,2013-08-11,3,2,0,66,1,3,1,2,0,20,16,1,78,0,7,80,1,21,0,15,2,26,3,6
32,2013-08-18,3,3,1,81,2,2,2,1,1,25,14,0,74,0,8,80,1,22,0,16,6,17,3,5
33,2013-08-25,2,2,0,63,1,3,2,2,2,21,15,1,75,0,7,75,2,15,0,15,6,18,2,7
34,2013-09-01,4,3,1,73,2,2,1,3,2,24,10,2,80,0,9,74,2,20,0,15,2,21,4,5
35,2013-09-08,3,2,1,62,2,2,1,2,0,25,16,1,74,0,12,70,4,19,0,16,8,21,2,4
36,2013-09-15,3,3,1,64,1,3,2,4,1,28,16,1,73,0,8,64,3,16,0,16,6,22,4,3
37,2013-09-22,2,3,1,70,1,2,1,3,1,23,20,2,70,0,9,70,2,19,0,17,6,23,2,2
38,2013-09-29,3,2,0,70,3,2,1,4,2,29,15,1,75,0,12,68,1,17,0,14,6,29,4,7
39,2013-10-06,3,2,1,70,1,3,3,3,0,26,12,2,79,0,10,73,1,19,0,17,6,23,3,4
40,2013-10-13,3,3,1,76,1,2,1,3,0,31,14,2,76,0,10,67,2,16,0,14,5,23,5,6
41,2013-10-20,3,2,1,70,1,1,1,3,1,25,13,3,71,0,12,65,1,18,0,17,4,34,2,5
42,2013-10-27,3,3,2,72,1,1,1,2,0,20,23,2,74,0,9,59,2,21,0,17,4,27,4,4
43,2013-11-03,3,2,1,72,1,2,2,2,1,21,20,2,80,0,9,64,2,20,0,17,7,28,6,6
44,2013-11-10,2,1,1,75,1,2,2,4,1,26,20,1,81,0,8,73,2,20,0,17,5,33,2,4
45,2013-11-17,4,1,0,67,1,2,2,2,0,20,19,1,80,0,10,67,1,24,0,16,5,29,2,5
46,2013-11-24,2,1,1,85,2,2,2,3,0,18,14,3,81,0,7,71,1,26,0,21,4,23,3,3
