,date,anxiety,closing,entrepreneur,home,startup,bankruptcy,compensation,fired,layoff,tax,benefits,confidence,good,pink slip,unemployment,car,expect,happy,start business,better,worse,future,expectations,interest rate
0,2013-01-06,2,2,0,74,1,5,3,4,2,50,24,2,75,0,32,57,2,20,0,21,11,29,5,5
1,2013-01-13,2,3,1,68,2,4,2,4,0,39,17,0,65,0,36,68,2,17,0,13,5,25,10,0
2,2013-01-20,2,3,0,73,1,2,0,3,0,57,18,0,69,0,35,82,3,19,0,17,5,30,5,7
3,2013-01-27,2,5,1,63,3,2,2,2,4,75,15,2,73,0,28,56,2,24,0,16,5,19,6,4
4,2013-02-03,3,5,1,65,1,4,0,3,0,82,25,2,55,0,28,55,3,19,0,15,14,27,0,4
5,2013-02-10,3,2,0,60,0,2,1,1,0,83,18,3,75,0,26,60,3,23,0,14,10,18,9,12
6,2013-02-17,5,2,0,58,5,3,4,1,0,66,15,3,79,0,32,70,1,22,0,17,4,27,8,0
7,2013-02-24,4,3,0,53,1,2,2,1,0,59,15,2,96,0,25,69,2,11,0,21,4,29,5,10
8,2013-03-03,2,5,0,66,2,4,3,3,0,57,16,3,79,0,22,61,4,19,0,16,5,29,5,8
9,2013-03-10,4,2,1,55,2,4,1,5,0,54,19,2,82,0,23,85,3,22,0,13,10,32,4,0
10,2013-03-17,5,5,1,65,0,4,2,2,1,49,11,3,75,0,27,67,2,21,0,19,12,34,4,0
11,2013-03-24,5,2,1,71,4,2,2,2,0,55,14,3,85,0,24,70,2,20,0,15,5,25,0,6
12,2013-03-31,2,3,0,68,1,3,2,3,0,63,13,4,78,0,19,69,2,25,0,14,10,14,6,0
13,2013-04-07,4,2,1,67,1,2,0,5,0,62,12,2,69,0,25,58,2,16,0,14,4,16,4,6
14,2013-04-14,2,4,0,70,2,2,3,4,0,62,16,2,68,0,22,69,2,21,0,15,0,27,5,0
15,2013-04-21,2,2,0,74,2,0,3,5,0,27,16,2,75,0,21,70,3,13,0,14,0,18,5,14
16,2013-04-28,7,2,0,83,1,2,2,3,0,28,16,5,81,0,17,68,2,18,0,17,5,39,5,6
17,2013-05-05,6,0,0,75,1,4,6,0,1,19,14,4,74,0,21,58,2,27,0,13,7,28,12,5
18,2013-05-12,3,3,0,65,3,2,4,6,0,28,15,2,75,0,19,65,3,28,0,14,5,20,5,0
19,2013-05-19,4,3,1,79,1,2,5,3,0,22,17,0,70,0,21,78,8,14,0,12,0,28,5,7
20,2013-05-26,3,2,0,83,1,0,2,2,0,23,20,2,65,0,27,87,0,17,0,18,10,25,5,5
21,2013-06-02,3,3,1,86,2,3,5,3,0,24,16,5,71,0,22,78,2,16,0,14,10,28,0,5
22,2013-06-09,4,2,0,79,2,2,2,2,2,22,18,2,74,0,22,78,3,18,0,15,5,24,5,10
23,2013-06-16,2,1,0,84,3,2,2,3,0,23,14,2,74,0,23,73,2,26,0,13,5,24,8,6
24,2013-06-23,4,2,0,89,1,3,5,5,0,20,22,2,68,0,25,79,2,19,0,16,5,24,5,13
25,2013-06-30,4,1,1,91,2,3,2,5,0,22,14,0,69,0,27,76,2,17,0,14,12,13,0,15
26,2013-07-07,3,4,0,76,2,3,2,4,0,24,18,4,73,0,29,87,2,18,0,13,9,14,5,0
27,2013-07-14,4,2,0,81,3,3,2,4,0,23,15,2,71,0,25,82,3,20,0,15,12,19,0,9
28,2013-07-21,3,1,0,80,2,2,1,3,0,19,16,3,72,0,22,72,2,17,0,19,8,34,0,0
29,2013-07-28,3,1,0,74,2,4,2,0,2,18,14,2,64,0,25,75,2,20,0,13,7,27,6,0
30,2013-08-04,4,1,0,72,2,5,2,3,2,23,8,5,69,0,19,74,3,20,0,20,5,14,0,5
31,2013-08-11,6,3,0,64,2,2,5,3,0,17,14,0,68,0,23,77,2,16,0,18,9,10,0,0
32,2013-08-18,2,2,0,71,3,3,2,2,0,21,10,2,74,0,25,76,3,13,0,13,5,24,9,6
33,2013-08-25,4,2,1,72,1,2,3,5,2,19,11,1,70,0,17,76,2,15,0,12,11,17,5,0
34,2013-09-01,2,3,0,65,2,3,3,4,2,22,14,0,75,0,13,81,2,16,0,9,5,15,0,5
35,2013-09-08,4,4,1,69,3,3,3,1,0,21,20,1,70,0,26,69,4,16,0,20,4,16,0,4
36,2013-09-15,4,3,1,71,2,3,4,5,0,26,14,4,79,0,18,57,2,17,0,20,9,21,4,4
37,2013-09-22,5,3,0,67,2,6,2,4,1,24,18,3,86,0,16,70,2,16,0,18,7,30,0,7
38,2013-09-29,6,3,1,62,2,5,2,5,1,28,11,2,79,0,22,66,1,13,0,14,7,29,4,12
39,2013-10-06,5,2,2,66,1,1,3,1,0,23,20,4,83,0,18,67,2,18,0,15,4,25,12,8
40,2013-10-13,4,2,1,67,2,2,4,3,0,26,13,4,82,0,26,58,3,16,0,19,8,26,0,6
41,2013-10-20,4,2,1,65,2,1,3,2,0,19,22,4,83,0,24,67,3,14,0,17,8,30,0,8
42,2013-10-27,5,2,1,64,2,3,2,3,0,20,20,3,68,0,21,59,1,21,0,21,4,21,4,10
43,2013-11-03,3,1,1,71,2,1,0,1,2,22,20,2,80,0,29,57,3,16,0,23,4,23,0,8
44,2013-11-10,4,2,1,70,2,5,2,3,1,23,18,2,78,0,24,61,2,20,0,19,12,32,8,8
45,2013-11-17,4,1,1,67,1,1,3,1,0,24,19,2,75,0,19,65,2,23,0,16,4,20,4,7
46,2013-11-24,4,3,0,77,1,1,2,1,0,19,16,3,85,0,23,67,2,25,0,21,4,19,5,12
47,2013-12-01,3,1,0,76,1,2,1,4,0,22,16,1,88,0,19,80,5,18,0,15,4,26,4,4
48,2013-12-08,2,3,1,71,2,3,2,2,1,28,18,1,86,0,25,62,2,16,0,18,8,21,10,9
49,2013-12-15,1,5,0,62,1,3,1,4,1,28,15,3,76,0,23,62,2,22,0,13,7,27,5,4
50,2013-12-22,2,3,1,75,2,1,1,3,0,23,11,0,71,0,25,67,2,36,0,11,10,20,9,9
51,2013-12-29,2,4,0,75,0,1,3,5,0,27,17,0,97,0,42,80,2,32,0,15,5,23,4,0
52,2014-01-05,4,7,1,71,1,4,3,4,1,34,24,1,91,0,59,71,1,13,0,13,12,34,0,0
53,2014-01-12,3,4,1,74,1,5,3,3,1,44,28,1,82,0,55,68,2,18,0,17,12,15,4,4
54,2014-01-19,5,6,1,80,2,3,3,2,2,53,24,4,85,0,37,83,1,16,0,12,13,15,6,7
55,2014-01-26,2,4,2,73,2,2,2,2,0,71,21,0,74,0,39,65,2,18,0,14,7,30,0,4
56,2014-02-02,3,9,0,65,1,3,3,2,0,83,23,1,79,0,31,74,2,17,0,14,8,20,0,4
57,2014-02-09,3,10,1,62,2,0,4,2,1,64,18,4,74,0,29,69,4,23,0,19,4,18,4,6
58,2014-02-16,3,5,1,67,1,2,2,2,0,70,19,0,86,0,25,74,1,18,0,18,5,15,5,3
59,2014-02-23,5,4,2,81,2,1,2,2,1,49,23,1,90,0,22,70,1,18,0,17,3,32,7,4
60,2014-03-02,2,2,1,67,2,2,2,3,1,59,23,1,87,0,24,63,3,17,0,20,12,18,4,5
61,2014-03-09,5,14,1,71,2,3,3,2,0,51,18,1,80,0,31,77,3,29,0,21,8,25,4,7
62,2014-03-16,5,2,1,67,2,2,2,3,0,47,20,1,85,0,24,67,4,25,0,11,5,15,0,4
63,2014-03-23,4,3,1,74,1,2,4,3,0,48,15,3,82,0,29,69,2,26,0,13,5,26,6,8
64,2014-03-30,3,6,1,78,1,6,3,3,1,49,10,1,73,0,21,72,2,25,0,11,9,18,6,6
65,2014-04-06,4,3,0,67,2,2,2,3,2,54,20,3,68,0,35,75,1,28,0,16,4,30,4,12
66,2014-04-13,4,3,2,76,2,2,4,2,0,69,17,2,100,0,33,68,3,26,0,15,10,38,5,6
67,2014-04-20,7,3,0,77,2,2,3,1,0,35,22,3,81,0,24,73,1,30,0,14,0,28,4,4
68,2014-04-27,4,2,0,76,2,0,2,2,1,24,20,2,64,0,26,64,3,16,0,21,5,26,0,8
69,2014-05-04,3,3,1,67,2,3,3,3,0,20,18,2,71,0,20,65,4,36,0,14,6,26,4,0
70,2014-05-11,4,2,1,74,1,1,2,2,1,32,16,3,90,0,23,84,2,27,0,13,7,34,4,7
71,2014-05-18,2,3,2,88,3,2,1,3,4,31,22,2,73,0,27,75,2,22,0,11,12,49,0,5
72,2014-05-25,4,4,0,91,2,2,2,4,0,22,12,3,76,0,22,89,0,18,0,14,13,38,5,5
73,2014-06-01,2,3,2,92,3,3,5,2,0,28,23,2,71,0,21,72,0,18,0,18,6,28,5,5
74,2014-06-08,3,2,0,82,0,2,2,2,0,22,17,2,70,0,15,80,3,23,0,14,11,36,8,5
75,2014-06-15,4,2,1,88,2,2,4,3,2,26,11,4,80,0,13,87,2,25,0,14,5,30,0,7
76,2014-06-22,3,3,1,92,2,0,2,2,0,23,17,2,77,0,18,70,0,15,0,11,7,22,0,5
77,2014-06-29,4,3,0,88,1,3,3,2,2,23,13,2,65,0,10,93,3,20,0,13,6,17,5,5
78,2014-07-06,6,2,0,76,1,3,4,5,0,28,13,4,65,0,21,88,3,21,0,16,9,13,7,9
79,2014-07-13,3,4,0,85,0,2,3,4,0,21,16,2,73,0,17,85,2,27,0,16,10,32,0,7
80,2014-07-20,4,3,3,73,2,5,2,2,0,20,16,2,67,0,11,87,2,15,0,14,6,17,0,10
81,2014-07-27,5,5,0,77,1,2,2,4,0,20,15,0,72,0,17,94,2,21,0,21,6,21,5,0
82,2014-08-03,2,3,0,80,1,3,2,3,0,23,14,4,85,0,17,95,2,17,0,14,6,27,7,14
83,2014-08-10,4,3,0,83,2,2,5,2,0,20,11,2,69,0,9,73,2,18,0,12,9,18,6,7
84,2014-08-17,2,4,0,72,2,2,2,3,0,20,15,3,73,0,9,97,0,24,0,10,5,18,5,6
85,2014-08-24,3,2,1,67,2,3,2,2,2,21,13,2,76,0,7,86,2,17,0,18,14,21,0,0
86,2014-08-31,3,3,2,73,1,1,1,3,0,26,12,2,64,0,12,75,3,21,0,15,6,15,8,6
87,2014-09-07,3,2,2,75,2,2,3,2,0,21,14,4,77,0,15,64,2,19,0,14,9,18,12,4
88,2014-09-14,2,2,0,68,2,2,2,5,0,30,18,2,66,0,13,69,2,22,0,18,0,20,9,5
89,2014-09-21,2,2,0,80,3,3,3,3,2,38,19,2,83,0,11,65,2,22,0,9,5,32,5,7
90,2014-09-28,4,5,1,65,4,2,3,0,0,35,20,3,76,0,10,72,2,23,0,12,5,34,5,6
91,2014-10-05,4,3,1,72,1,2,3,2,0,27,17,2,69,0,14,64,3,21,0,17,7,14,8,10
92,2014-10-12,5,2,0,62,3,1,3,4,0,24,18,2,72,0,11,55,2,18,0,19,0,25,7,9
93,2014-10-19,4,2,1,69,1,0,3,2,0,25,17,2,79,0,13,74,3,25,0,10,11,26,6,11
94,2014-10-26,5,2,2,60,2,2,2,3,0,21,22,3,68,0,8,65,2,29,0,13,8,27,7,4
95,2014-11-02,3,2,1,57,2,3,3,3,0,23,19,1,63,0,10,64,1,17,0,15,6,33,5,8
96,2014-11-09,5,2,0,77,2,2,2,3,1,25,19,3,81,0,14,66,4,24,0,18,12,39,5,8
97,2014-11-16,6,3,1,69,1,0,3,2,1,22,15,2,69,0,13,73,3,23,0,18,4,16,4,6
98,2014-11-23,3,2,1,72,2,1,2,2,0,18,12,3,70,0,20,62,2,22,0,19,4,27,0,5
99,2014-11-30,4,3,1,67,4,2,3,2,1,23,22,1,71,0,23,64,0,22,0,19,8,39,4,8
100,2014-12-07,2,9,2,69,1,1,2,0,1,21,16,3,62,0,18,55,1,22,0,16,4,24,10,10
101,2014-12-14,3,2,1,70,1,1,3,0,0,27,19,5,75,0,12,78,1,29,0,17,13,26,4,13
102,2014-12-21,3,3,0,81,4,2,2,4,0,20,19,2,72,0,21,72,2,25,0,12,15,21,0,6
103,2014-12-28,3,3,0,72,1,0,2,4,0,33,18,3,72,0,18,68,5,40,0,13,7,34,5,5
104,2015-01-04,4,4,1,76,1,2,2,4,2,28,19,4,64,0,27,77,2,21,0,17,5,29,0,5
105,2015-01-11,4,6,1,84,1,2,2,3,0,35,18,2,74,0,21,87,4,14,0,18,9,26,0,5
106,2015-01-18,4,2,1,81,2,2,3,3,2,63,19,0,68,0,25,76,2,24,0,13,0,22,0,7
107,2015-01-25,4,6,1,62,1,1,1,1,2,63,16,2,64,0,21,58,2,18,0,21,7,18,4,0
108,2015-02-01,5,12,1,69,2,1,1,4,0,88,21,3,82,0,21,71,2,21,0,12,10,23,5,7
109,2015-02-08,4,6,1,67,1,1,2,0,0,85,15,3,64,0,20,63,3,27,0,30,15,15,0,9
110,2015-02-15,2,4,0,70,2,2,3,2,0,67,17,2,87,0,13,70,3,18,0,20,0,10,0,13
111,2015-02-22,5,4,2,76,2,2,4,3,0,63,16,4,70,0,16,76,3,23,0,25,11,27,10,8
112,2015-03-01,4,3,1,72,1,2,1,3,0,52,23,2,72,0,15,70,2,24,0,18,5,16,6,6
113,2015-03-08,3,2,1,77,2,3,2,3,1,49,18,2,80,0,15,89,3,24,0,16,10,21,4,10
114,2015-03-15,5,3,0,73,1,2,1,2,0,54,13,3,76,0,17,72,1,28,0,23,7,27,4,6
115,2015-03-22,3,3,0,76,2,2,2,5,2,56,22,3,80,0,19,71,3,18,0,22,5,26,0,10
116,2015-03-29,5,4,0,91,1,6,4,3,0,52,25,0,98,0,20,63,2,26,0,17,5,36,5,5
117,2015-04-05,2,4,0,80,2,2,3,0,0,65,21,5,66,0,21,77,0,25,0,16,5,23,7,5
118,2015-04-12,5,3,0,77,1,2,3,3,0,84,15,3,82,0,22,80,2,22,0,17,5,37,0,11
119,2015-04-19,4,2,1,76,2,3,4,1,0,31,23,2,73,0,12,78,3,22,0,17,5,48,5,10
120,2015-04-26,4,1,1,73,1,3,4,2,0,31,18,3,70,0,14,77,3,21,0,18,8,27,5,8
121,2015-05-03,6,2,0,77,3,2,3,2,0,29,16,5,70,0,13,78,3,29,0,16,11,37,7,11
122,2015-05-10,5,3,1,67,1,3,4,2,0,29,15,4,67,0,11,92,2,35,0,14,6,25,0,9
123,2015-05-17,5,2,1,88,3,3,2,2,0,30,12,4,73,0,8,98,2,26,0,20,6,23,0,0
124,2015-05-24,5,1,1,88,4,4,3,2,0,24,16,0,72,0,11,98,2,25,0,22,8,20,6,7
125,2015-05-31,4,5,0,86,1,3,5,2,0,31,14,2,58,0,15,75,3,29,0,17,14,24,6,0
126,2015-06-07,3,1,0,85,1,4,2,2,0,25,20,0,71,0,10,88,4,21,0,18,17,28,7,6
127,2015-06-14,2,2,0,85,1,2,4,2,0,30,21,3,68,0,12,79,3,28,0,13,8,25,8,8
128,2015-06-21,3,2,0,88,3,3,4,2,0,21,14,2,66,0,16,84,5,28,0,13,9,13,0,5
129,2015-06-28,3,2,0,86,2,2,2,3,2,20,13,2,70,0,10,75,4,25,0,18,5,34,0,10
130,2015-07-05,4,2,0,83,2,3,2,2,2,28,12,3,63,0,14,97,2,28,0,12,10,20,0,5
131,2015-07-12,3,1,0,85,2,3,3,2,0,22,14,0,77,0,21,95,3,20,0,13,7,39,6,5
132,2015-07-19,4,2,1,83,3,3,3,4,0,19,16,0,69,0,11,90,3,27,0,14,7,27,6,5
133,2015-07-26,4,3,0,95,2,3,4,2,0,30,15,0,74,0,12,90,5,20,0,13,0,21,9,0
134,2015-08-02,7,3,0,78,2,3,2,2,0,23,19,0,71,0,9,95,2,19,0,11,5,22,6,9
135,2015-08-09,3,2,0,87,1,4,3,3,0,26,16,2,68,0,11,97,3,19,0,16,8,25,0,6
136,2015-08-16,4,4,0,66,2,1,1,2,0,24,14,3,72,0,4,77,1,18,0,7,5,25,12,10
137,2015-08-23,4,4,0,84,3,3,4,3,0,24,16,0,79,0,17,89,3,19,0,13,15,28,4,5
138,2015-08-30,4,2,1,71,2,2,2,1,1,23,20,2,61,0,12,74,1,14,0,16,5,30,0,11
139,2015-09-06,3,3,0,73,1,1,2,3,0,24,14,2,61,0,6,73,2,20,0,15,4,26,0,4
140,2015-09-13,2,2,1,75,2,2,2,4,1,26,16,2,64,0,6,70,1,19,0,15,4,28,4,8
141,2015-09-20,4,4,0,74,1,0,1,2,0,22,12,1,79,0,8,80,2,28,0,18,8,63,0,4
142,2015-09-27,4,2,1,68,1,1,2,2,0,25,15,3,75,0,7,68,1,28,0,17,4,41,0,7
143,2015-10-04,4,3,0,61,2,1,3,3,1,24,19,2,65,0,11,67,3,29,0,10,13,30,10,14
144,2015-10-11,5,2,1,65,2,4,2,1,2,24,19,2,70,0,10,63,2,29,0,15,6,35,4,4
145,2015-10-18,6,2,0,73,1,3,3,3,1,25,13,1,72,0,11,66,2,24,0,14,8,100,7,7
146,2015-10-25,7,2,1,71,1,2,3,1,1,30,19,3,73,0,8,65,1,23,0,19,6,48,5,5
147,2015-11-01,4,4,0,78,2,1,2,3,0,27,18,1,71,0,11,67,3,27,0,20,6,27,7,5
148,2015-11-08,5,3,1,66,3,0,2,2,0,25,18,3,78,0,11,63,2,25,0,16,14,32,4,7
149,2015-11-15,3,2,2,72,1,2,3,1,0,26,17,2,79,0,14,69,2,25,0,17,8,37,0,6
150,2015-11-22,4,2,1,84,2,2,2,4,0,27,21,1,77,0,14,69,2,34,0,16,5,22,0,4
151,2015-11-29,5,2,0,70,2,2,3,2,0,27,18,2,81,0,14,54,2,22,0,17,4,25,4,6
152,2015-12-06,4,2,1,71,1,2,3,3,1,25,15,1,66,0,10,57,2,21,0,18,8,31,6,9
153,2015-12-13,5,2,1,66,1,3,3,2,0,23,14,2,78,0,12,65,2,25,0,14,10,27,3,12
154,2015-12-20,2,2,0,81,1,1,2,4,0,23,10,3,61,0,14,73,3,28,0,15,6,31,5,4
155,2015-12-27,3,2,1,89,1,1,0,3,0,34,15,2,70,0,16,79,1,43,0,17,4,26,0,4
156,2016-01-03,5,4,0,78,2,2,3,3,0,48,19,1,71,0,24,75,6,25,0,13,7,17,0,0
157,2016-01-10,7,6,1,83,1,2,1,2,0,45,22,2,72,0,43,77,3,19,0,15,10,15,0,4
158,2016-01-17,4,6,1,73,1,3,2,3,0,47,21,2,62,0,31,77,3,18,0,20,13,25,3,5
159,2016-01-24,4,3,1,72,1,3,4,2,0,80,16,4,69,0,27,73,2,18,0,20,4,16,5,6
160,2016-01-31,5,3,1,74,1,2,2,2,0,100,18,2,81,0,18,69,3,17,0,17,5,36,3,5
161,2016-02-07,5,3,1,71,1,2,3,2,0,85,13,2,71,0,16,72,3,28,0,14,5,34,3,7
162,2016-02-14,4,20,0,73,2,0,2,2,1,84,15,2,76,0,15,71,3,27,0,27,11,27,3,15
163,2016-02-21,5,5,0,69,1,2,2,2,1,71,21,2,72,0,16,89,4,25,0,22,9,29,5,6
164,2016-02-28,3,3,2,69,1,3,3,3,0,56,15,1,72,0,20,85,3,19,0,18,6,27,0,11
165,2016-03-06,5,3,0,70,1,2,4,1,0,48,15,2,64,0,17,73,2,19,0,19,7,32,5,6
166,2016-03-13,4,3,0,70,1,1,2,2,0,48,17,2,77,0,17,69,2,26,0,21,6,34,4,9
167,2016-03-20,1,1,2,72,1,2,3,1,1,48,12,4,89,0,16,74,2,27,0,23,4,17,7,7
168,2016-03-27,6,4,0,85,2,2,3,3,0,57,16,2,77,0,15,89,5,37,0,15,6,27,8,5
169,2016-04-03,5,5,1,73,1,4,2,2,0,44,14,2,65,0,11,70,3,19,0,15,6,34,12,11
170,2016-04-10,4,2,1,77,1,3,5,4,1,74,17,3,72,0,20,69,5,14,0,18,10,30,5,9
171,2016-04-17,4,3,1,84,1,1,5,1,0,48,13,2,71,0,12,73,3,16,0,20,7,19,5,8
172,2016-04-24,4,2,1,72,1,2,3,2,0,30,19,3,74,0,14,76,2,21,0,15,6,37,8,10
173,2016-05-01,6,4,1,67,1,2,3,4,0,27,16,2,72,0,19,68,2,28,0,16,9,26,0,13
174,2016-05-08,4,3,0,72,1,3,2,2,0,31,17,4,73,0,13,67,2,37,0,14,11,31,9,7
175,2016-05-15,4,4,1,78,2,2,3,4,1,17,12,2,75,0,8,73,2,16,0,16,13,27,0,7
176,2016-05-22,6,3,0,94,1,1,3,1,0,20,8,2,68,0,10,80,2,25,0,17,10,27,5,0
177,2016-05-29,4,3,1,90,0,1,3,4,0,17,17,1,67,0,18,84,2,26,0,17,9,27,4,4
178,2016-06-05,4,1,0,78,2,2,5,4,0,23,17,2,58,0,10,81,4,24,0,16,7,22,0,11
179,2016-06-12,4,2,0,83,1,0,4,4,0,30,17,2,66,0,15,87,2,21,0,16,4,20,5,7
180,2016-06-19,3,2,0,75,1,2,3,2,0,20,14,1,69,0,10,86,3,33,0,14,6,21,10,4
181,2016-06-26,4,3,1,80,1,1,2,3,0,20,18,1,60,0,13,89,2,18,0,12,7,19,4,4
182,2016-07-03,5,2,0,81,2,3,3,3,0,23,10,3,67,0,9,91,0,27,0,15,7,16,5,10
183,2016-07-10,5,3,1,83,1,3,3,2,0,20,15,2,60,0,13,85,2,17,0,13,4,18,5,0
184,2016-07-17,4,2,1,89,1,2,1,4,0,23,16,2,66,0,10,83,2,15,0,16,10,19,4,6
185,2016-07-24,6,3,0,79,1,1,2,2,0,22,14,3,68,0,11,88,6,21,0,16,6,20,4,10
186,2016-07-31,4,2,0,72,1,2,3,2,0,20,15,0,60,0,7,76,3,16,0,14,8,21,4,11
187,2016-08-07,3,4,0,83,2,3,1,2,0,21,12,1,60,0,6,79,2,15,0,8,4,20,4,4
188,2016-08-14,5,3,1,67,1,2,2,2,0,22,15,1,63,0,10,82,3,17,0,17,4,21,0,4
189,2016-08-21,3,4,0,68,1,3,2,1,2,15,7,0,77,0,8,81,0,17,0,12,4,28,7,0
190,2016-08-28,3,2,1,68,1,2,2,3,0,19,13,2,61,0,10,87,2,17,0,20,8,15,0,3
191,2016-09-04,5,2,1,65,1,3,3,6,0,24,18,1,84,0,9,75,3,17,0,16,8,35,8,10
192,2016-09-11,5,3,1,70,1,3,3,2,0,27,12,1,75,0,10,76,3,16,0,15,7,27,6,4
193,2016-09-18,4,4,1,74,3,2,3,2,0,23,16,1,77,0,9,75,1,27,0,19,9,34,6,5
194,2016-09-25,4,2,0,72,1,2,2,2,0,31,10,2,74,0,10,68,1,22,0,16,6,29,3,14
