,date,anxiety,closing,entrepreneur,home,startup,bankruptcy,compensation,fired,layoff,tax,benefits,confidence,good,pink slip,unemployment,car,expect,happy,start business,better,worse,future,expectations,interest rate
0,2013-01-06,2,1,1,89,28,47,7,33,0,49,15,1,62,0,14,58,4,33,0,36,8,26,2,5
1,2013-01-13,2,5,0,71,26,31,26,17,0,62,14,1,55,0,10,64,3,36,0,33,4,26,2,4
2,2013-01-20,4,3,0,76,24,54,32,25,0,68,16,1,62,0,8,59,4,32,0,27,9,27,2,3
3,2013-01-27,2,3,0,78,23,43,22,11,1,98,16,1,54,0,9,64,3,34,0,25,6,23,2,2
4,2013-02-03,3,1,1,75,12,21,16,28,1,91,16,1,59,0,9,59,6,32,0,28,7,25,2,5
5,2013-02-10,2,2,0,70,30,20,16,16,1,65,16,1,58,0,10,60,3,55,0,35,3,23,2,3
6,2013-02-17,2,1,1,74,17,28,9,21,1,68,17,1,59,0,9,72,4,35,0,35,6,26,2,6
7,2013-02-24,2,1,0,80,21,46,21,18,0,59,18,2,61,0,8,67,3,40,0,33,3,24,7,5
8,2013-03-03,2,2,1,69,13,39,24,19,0,53,13,1,57,0,8,65,3,44,0,28,4,28,3,5
9,2013-03-10,2,1,1,78,31,27,27,17,0,42,12,1,56,0,6,70,2,44,0,29,4,20,2,4
10,2013-03-17,3,2,1,71,23,26,26,19,1,45,14,1,60,0,5,59,3,40,0,28,4,19,2,3
11,2013-03-24,2,2,1,73,30,27,22,20,0,40,14,2,69,0,7,65,4,47,0,24,2,26,2,5
12,2013-03-31,2,1,0,75,14,14,26,17,0,55,14,1,61,0,6,60,4,37,0,36,4,26,4,6
13,2013-04-07,3,2,1,76,20,22,15,27,0,70,14,1,60,0,8,60,3,39,0,26,3,31,3,4
14,2013-04-14,2,2,0,74,29,35,19,12,1,61,18,1,51,0,9,60,6,33,0,33,3,26,2,3
15,2013-04-21,3,2,0,73,10,17,24,36,1,29,12,1,60,0,8,61,5,35,0,35,4,34,3,6
16,2013-04-28,4,3,1,79,19,31,10,24,0,25,14,1,58,0,7,65,2,45,0,26,7,30,3,4
17,2013-05-05,2,2,1,76,27,37,27,25,0,27,13,1,58,0,8,71,4,62,0,26,7,27,2,3
18,2013-05-12,2,2,0,88,29,23,18,18,0,26,12,1,61,0,8,70,7,62,0,28,6,25,2,3
19,2013-05-19,2,2,0,84,13,21,13,10,1,22,12,1,60,0,8,68,4,51,0,33,3,21,0,5
