,date,anxiety,closing,entrepreneur,home,startup,bankruptcy,compensation,fired,layoff,tax,benefits,confidence,good,pink slip,unemployment,car,expect,happy,start business,better,worse,future,expectations,interest rate
0,2013-01-06,2,3,1,65,26,48,17,45,0,51,17,0,59,0,8,61,2,27,0,17,4,35,5,8
1,2013-01-13,3,2,0,63,27,0,31,46,0,62,18,2,72,0,8,73,4,24,0,18,8,32,6,5
2,2013-01-20,1,2,1,65,33,41,0,41,0,69,17,1,57,0,7,74,2,23,0,20,7,18,5,5
3,2013-01-27,1,2,1,67,17,94,25,17,0,100,14,2,76,0,8,61,2,24,0,24,5,30,7,8
4,2013-02-03,4,1,0,56,42,18,48,43,1,84,19,2,70,0,9,58,2,31,0,13,5,30,5,6
5,2013-02-10,1,3,1,64,19,20,31,25,0,71,16,0,68,0,9,65,4,42,0,19,4,31,5,6
6,2013-02-17,2,1,1,58,37,31,17,29,1,68,21,1,74,0,8,65,3,24,0,16,5,30,0,9
7,2013-02-24,3,3,0,62,25,17,25,68,0,53,11,1,82,0,9,71,4,27,0,17,9,36,13,13
8,2013-03-03,3,2,1,60,34,17,25,26,0,41,19,3,70,0,10,64,2,24,0,18,4,24,4,4
9,2013-03-10,2,2,1,59,26,37,41,21,0,48,12,2,71,0,5,78,2,32,0,14,8,27,5,0
10,2013-03-17,3,2,1,69,28,19,30,33,0,43,18,1,71,0,6,69,4,28,0,14,6,31,5,5
11,2013-03-24,1,3,1,65,16,28,19,0,0,41,11,2,81,0,10,76,3,25,0,18,8,47,6,7
12,2013-03-31,1,2,1,64,51,31,29,29,0,51,13,2,70,0,8,66,2,40,0,15,7,21,6,4
13,2013-04-07,3,1,1,71,23,23,17,48,2,62,22,3,68,0,5,69,1,28,0,15,4,30,10,10
14,2013-04-14,2,1,1,61,20,30,15,38,0,51,15,1,73,0,6,64,4,31,0,17,6,30,4,0
15,2013-04-21,2,2,1,66,40,21,32,29,0,25,16,3,57,0,11,70,3,37,0,17,10,24,5,8
16,2013-04-28,2,2,1,65,18,16,32,23,0,22,17,2,76,0,6,69,3,37,0,15,4,35,6,0
17,2013-05-05,2,2,1,65,29,17,49,34,0,24,14,0,68,0,8,71,2,44,0,20,10,29,4,6
18,2013-05-12,3,2,0,60,44,30,17,17,0,28,18,1,71,0,8,74,2,52,0,25,9,39,7,4
19,2013-05-19,3,1,1,73,88,34,26,30,1,23,15,1,71,0,6,69,3,29,0,13,8,28,7,4
20,2013-05-26,3,1,1,72,18,24,18,19,0,24,15,2,73,0,5,78,2,38,0,21,5,26,0,5
21,2013-06-02,3,3,1,62,39,35,26,32,0,22,15,3,68,0,5,61,4,37,0,20,5,28,5,10
22,2013-06-09,3,2,2,73,18,21,27,18,0,30,19,2,74,0,4,60,2,26,0,17,5,37,0,8
23,2013-06-16,5,1,2,70,24,20,42,67,0,32,21,0,74,0,11,78,2,40,0,13,6,27,0,6
24,2013-06-23,2,2,1,71,20,27,52,86,0,32,24,2,78,0,6,75,2,28,0,17,5,26,6,13
25,2013-06-30,3,2,0,73,19,55,22,32,0,24,14,5,67,0,5,79,2,34,0,17,5,37,5,7
26,2013-07-07,2,1,0,79,40,0,35,17,1,22,24,2,75,0,9,77,2,29,0,19,9,23,6,7
27,2013-07-14,2,2,0,72,39,26,43,31,0,27,18,0,75,0,6,60,3,30,0,22,4,35,4,5
28,2013-07-21,2,2,1,62,17,19,68,17,0,25,14,1,66,0,9,70,4,27,0,21,9,29,6,9
29,2013-07-28,3,2,1,71,33,38,34,31,0,24,17,2,63,0,11,72,3,28,0,18,7,34,7,5
30,2013-08-04,1,4,0,68,29,38,17,19,0,32,15,1,65,0,6,83,2,22,0,16,9,31,5,4
31,2013-08-11,3,1,0,66,17,34,42,37,0,30,9,6,71,0,6,85,2,24,0,15,4,29,0,0
32,2013-08-18,3,2,0,59,17,17,34,25,0,18,13,1,75,0,8,82,1,20,0,22,12,37,8,4
33,2013-08-25,3,1,1,68,0,17,35,38,1,24,19,2,61,0,8,55,2,31,0,11,5,32,6,5
34,2013-09-01,2,2,1,64,17,24,17,25,0,18,17,3,68,0,7,62,4,26,0,11,5,24,5,9
35,2013-09-08,1,1,0,58,18,16,32,40,0,29,18,2,63,0,6,59,2,29,0,22,12,32,0,0
36,2013-09-15,3,2,0,63,27,21,47,40,0,26,12,1,61,0,6,60,0,26,0,26,9,21,4,6
37,2013-09-22,2,2,1,61,49,37,24,24,0,20,21,0,60,0,6,70,4,25,0,16,8,23,8,6
38,2013-09-29,2,2,0,57,41,19,33,57,0,24,21,1,78,0,7,70,5,34,0,17,5,45,7,4
39,2013-10-06,3,4,0,67,19,45,17,30,0,24,25,0,70,0,9,71,3,23,0,21,7,28,7,5
40,2013-10-13,2,2,1,73,36,22,19,24,0,26,17,4,77,0,8,73,2,28,0,14,10,33,0,4
41,2013-10-20,4,1,1,55,28,17,17,30,0,24,19,3,76,0,7,67,3,23,0,10,6,44,0,0
42,2013-10-27,1,2,0,55,25,25,51,58,0,29,18,1,72,0,10,66,3,38,0,16,0,33,9,9
43,2013-11-03,3,1,1,72,28,17,19,36,0,26,17,2,78,0,6,57,3,32,0,23,4,31,4,0
44,2013-11-10,1,2,0,67,19,22,18,29,0,29,15,2,79,0,4,62,3,37,0,19,4,32,4,4
45,2013-11-17,3,1,1,66,35,29,46,24,0,27,21,3,80,0,7,67,3,35,0,20,4,28,4,4
46,2013-11-24,3,2,1,62,24,36,18,27,1,18,12,1,72,0,5,68,3,43,0,19,7,23,0,5
47,2013-12-01,1,1,1,62,28,22,62,34,0,27,18,2,72,0,11,77,1,32,0,13,4,26,0,6
48,2013-12-08,3,1,1,69,36,48,17,75,0,29,16,3,76,0,9,63,0,33,0,17,4,25,8,5
49,2013-12-15,3,1,0,73,33,19,19,43,0,23,17,2,78,0,8,69,1,46,0,13,7,41,0,4
50,2013-12-22,2,1,0,69,22,23,27,43,0,23,13,2,73,0,8,57,3,41,0,14,0,33,0,5
51,2013-12-29,1,2,1,74,48,0,18,52,0,39,19,2,79,0,10,75,2,47,0,21,9,22,0,6
52,2014-01-05,2,1,1,70,16,32,35,64,0,46,21,0,76,0,9,66,1,33,0,21,4,20,4,7
53,2014-01-12,2,3,1,67,44,24,19,17,0,50,27,0,79,0,12,73,2,36,0,25,10,19,4,9
54,2014-01-19,1,2,0,72,40,0,28,41,0,52,16,2,69,0,6,68,2,28,0,19,4,24,6,8
55,2014-01-26,4,3,1,67,35,16,17,23,0,94,20,0,61,0,12,63,2,31,0,21,0,33,8,0
56,2014-02-02,2,1,1,56,54,18,29,0,0,90,17,2,72,0,7,62,3,30,0,22,7,26,5,4
57,2014-02-09,2,2,1,67,61,35,17,26,0,52,25,2,70,0,8,74,2,51,0,12,8,32,7,10
58,2014-02-16,3,1,0,73,16,16,23,23,1,53,18,1,73,0,7,60,2,38,0,23,5,31,0,5
59,2014-02-23,2,2,1,66,23,26,22,20,2,57,20,2,70,0,7,67,2,32,0,17,6,33,4,9
60,2014-03-02,2,1,0,66,18,47,27,23,0,37,17,0,71,0,8,64,2,37,0,18,0,30,0,4
61,2014-03-09,1,1,0,68,18,18,32,18,0,47,13,0,70,0,7,73,2,32,0,17,18,35,0,5
62,2014-03-16,4,1,0,73,42,33,30,33,0,39,21,1,57,0,4,74,3,31,0,17,5,22,4,4
63,2014-03-23,3,2,1,65,23,16,24,55,0,45,19,1,85,0,9,69,3,35,0,19,7,34,4,4
64,2014-03-30,3,2,0,68,31,16,31,36,0,41,20,2,73,0,7,70,1,35,0,22,6,37,6,5
65,2014-04-06,2,2,0,64,18,0,16,47,0,51,17,2,84,0,5,71,6,30,0,22,9,26,4,0
66,2014-04-13,4,2,0,68,28,16,46,27,1,64,19,3,79,0,8,67,2,40,0,15,5,44,5,5
67,2014-04-20,4,1,0,66,0,43,55,32,0,29,18,3,61,0,7,73,4,50,0,18,4,36,8,4
68,2014-04-27,3,1,0,69,32,18,45,40,0,23,17,1,54,0,6,67,3,31,0,22,4,37,5,5
69,2014-05-04,2,1,0,64,29,16,17,29,0,23,12,1,67,0,8,73,2,48,0,16,4,25,5,7
70,2014-05-11,4,2,1,72,32,22,16,28,0,27,15,2,80,0,6,74,2,64,0,17,5,33,6,5
71,2014-05-18,2,2,0,63,30,71,17,38,0,26,21,3,81,0,5,73,0,41,0,17,7,56,8,4
72,2014-05-25,3,2,1,79,19,55,19,33,0,25,21,2,62,0,3,77,2,40,0,16,6,73,0,5
73,2014-06-01,1,3,1,69,48,33,28,28,0,20,17,2,67,0,6,80,3,36,0,18,7,63,6,9
74,2014-06-08,5,4,1,70,33,77,22,39,0,21,22,0,75,0,4,71,2,30,0,16,5,31,0,7
75,2014-06-15,2,2,1,67,58,19,43,39,0,24,18,2,66,0,4,76,2,35,0,25,6,26,9,5
76,2014-06-22,4,2,1,71,44,28,0,44,2,24,16,2,81,0,3,74,4,41,0,23,6,36,0,10
77,2014-06-29,3,3,0,76,50,34,36,36,0,22,17,3,77,0,5,79,0,44,0,19,6,21,0,0
78,2014-07-06,2,1,0,71,28,38,28,22,0,29,13,5,85,0,5,74,2,33,0,21,10,27,5,5
79,2014-07-13,2,2,0,71,33,0,19,55,0,23,24,2,67,0,5,75,2,24,0,19,0,40,5,20
80,2014-07-20,5,1,2,66,28,58,29,19,0,25,21,3,70,0,5,82,3,33,0,10,9,28,0,0
81,2014-07-27,2,3,0,75,57,0,35,57,0,35,28,5,73,0,7,75,2,31,0,20,5,16,5,6
82,2014-08-03,4,2,0,65,20,20,0,50,0,34,23,0,65,0,3,73,3,42,0,19,9,39,0,10
83,2014-08-10,2,1,0,55,19,21,34,0,0,27,22,2,70,0,5,72,2,30,0,18,0,42,6,5
84,2014-08-17,3,2,3,61,19,19,32,33,0,30,17,2,60,0,3,81,3,38,0,20,5,14,6,5
85,2014-08-24,2,1,1,60,37,21,18,37,0,23,18,0,67,0,3,64,3,25,0,17,6,12,5,7
86,2014-08-31,2,1,3,62,71,20,41,35,0,16,17,0,65,0,3,67,2,30,0,16,5,22,12,0
87,2014-09-07,2,1,1,64,45,17,31,17,0,26,20,3,70,0,5,73,3,31,0,17,8,22,7,0
88,2014-09-14,3,2,1,61,31,23,19,19,0,20,22,2,65,0,4,65,3,39,0,17,4,21,5,10
89,2014-09-21,3,2,1,64,25,0,30,39,1,27,21,3,75,0,6,63,3,37,0,16,9,24,4,6
90,2014-09-28,4,1,1,66,51,34,19,40,0,24,24,0,61,0,5,60,3,36,0,21,5,26,0,10
91,2014-10-05,4,1,2,62,30,0,17,17,0,24,19,2,64,0,6,60,3,33,0,18,9,28,7,4
92,2014-10-12,2,2,1,56,20,19,58,18,0,19,22,0,64,0,3,64,2,43,0,16,8,40,0,5
93,2014-10-19,4,2,0,65,32,35,32,38,0,30,27,2,62,0,7,68,2,40,0,22,8,31,4,11
94,2014-10-26,2,2,0,61,41,18,27,18,0,33,26,2,65,0,6,64,4,48,0,16,9,18,7,10
95,2014-11-02,1,1,1,57,19,34,24,29,0,33,23,4,66,0,10,62,3,38,0,20,7,19,6,9
96,2014-11-09,2,4,1,57,19,17,34,29,0,30,23,1,65,0,5,64,4,46,0,20,10,34,6,7
97,2014-11-16,3,2,0,62,19,17,29,29,1,22,21,1,76,0,7,62,2,40,0,20,5,35,4,13
98,2014-11-23,2,0,0,66,53,19,20,20,0,15,19,3,64,0,7,59,3,73,0,17,10,35,0,12
99,2014-11-30,3,1,1,72,16,16,32,41,0,25,24,3,68,0,3,66,4,40,0,15,8,34,0,11
100,2014-12-07,4,1,1,61,20,17,34,34,0,24,23,2,73,0,6,61,2,43,0,19,6,29,0,4
