,date,anxiety,closing,entrepreneur,home,startup,bankruptcy,compensation,fired,layoff,tax,benefits,confidence,good,pink slip,unemployment,car,expect,happy,start business,better,worse,future,expectations,interest rate
0,2013-01-06,3,2,0,79,1,4,2,4,0,49,14,1,73,0,16,71,2,22,0,14,4,26,2,3
1,2013-01-13,2,4,0,75,0,3,2,2,0,52,12,1,68,0,15,65,2,21,0,15,5,21,3,3
2,2013-01-20,2,2,0,72,1,4,2,3,0,63,16,1,85,0,14,72,2,23,0,13,2,26,3,3
3,2013-01-27,2,3,1,76,1,3,2,2,0,93,15,2,71,0,11,62,2,21,0,15,5,31,2,6
4,2013-02-03,3,1,0,71,1,2,3,3,0,100,15,2,69,0,11,68,3,24,0,15,4,31,2,4
5,2013-02-10,2,1,0,63,1,4,2,3,0,76,14,0,77,0,11,73,2,28,0,16,5,29,4,5
6,2013-02-17,3,4,0,67,1,3,4,3,0,60,14,1,83,0,11,69,2,23,0,14,7,31,0,0
7,2013-02-24,3,2,0,71,1,3,2,3,1,59,15,1,71,0,8,71,2,19,0,15,6,25,2,7
8,2013-03-03,3,1,0,62,1,3,1,2,0,41,15,1,73,0,10,72,3,23,0,15,4,26,0,4
9,2013-03-10,2,1,0,66,1,4,2,2,1,40,13,2,73,0,14,70,2,22,0,17,3,28,0,3
10,2013-03-17,2,3,0,69,1,2,1,2,0,39,12,1,75,0,13,62,2,19,0,17,6,25,2,2
11,2013-03-24,2,2,0,65,1,2,2,4,1,36,13,2,88,0,12,64,2,25,0,19,6,27,2,3
12,2013-03-31,3,1,1,67,1,3,2,2,1,43,13,1,73,0,12,72,2,26,0,13,2,21,2,4
13,2013-04-07,3,1,0,73,1,1,1,3,0,52,14,1,72,0,12,66,2,22,0,16,4,31,4,7
14,2013-04-14,3,2,1,77,1,2,1,2,0,51,12,2,80,0,11,72,2,21,0,15,4,28,3,2
15,2013-04-21,3,2,1,68,0,2,2,4,0,27,11,1,83,0,12,67,2,28,0,16,4,32,5,4
16,2013-04-28,3,2,1,73,1,6,1,2,0,22,12,2,71,0,12,68,3,22,0,13,6,39,6,6
17,2013-05-05,1,1,0,74,1,3,2,4,1,19,13,1,77,0,15,80,2,25,0,17,4,24,2,5
18,2013-05-12,3,1,0,86,1,3,2,2,1,21,9,1,59,0,12,74,1,34,0,13,3,32,0,5
19,2013-05-19,2,1,0,83,1,2,1,2,0,15,11,1,71,0,11,77,2,25,0,15,8,18,2,3
20,2013-05-26,2,2,1,89,1,4,2,1,0,18,9,1,65,0,16,75,1,21,0,15,6,20,4,4
21,2013-06-02,2,1,0,80,1,3,1,2,1,21,12,1,74,0,10,68,2,17,0,14,3,21,4,2
22,2013-06-09,3,1,1,81,1,3,1,2,0,14,12,1,70,0,13,84,2,19,0,15,4,25,0,6
23,2013-06-16,3,2,1,75,1,3,3,5,1,20,12,1,68,0,14,74,1,23,0,18,3,22,2,4
24,2013-06-23,2,1,0,75,2,2,2,9,0,18,10,2,70,0,15,75,1,15,0,16,5,21,2,0
25,2013-06-30,3,2,0,78,1,2,1,2,0,17,8,1,70,0,11,72,3,21,0,11,3,19,0,3
26,2013-07-07,2,3,1,75,2,3,2,2,0,21,14,1,73,0,18,75,1,17,0,19,3,23,0,4
27,2013-07-14,1,1,0,86,1,2,2,3,0,25,17,1,68,0,13,76,2,12,0,17,0,15,4,3
28,2013-07-21,3,1,0,83,2,4,2,1,0,25,12,0,76,0,16,72,2,18,0,13,4,19,0,2
29,2013-07-28,3,2,0,80,1,4,4,2,0,40,12,1,78,0,13,79,1,20,0,17,3,18,3,3
30,2013-08-04,1,1,1,70,1,2,2,3,1,22,10,2,74,0,13,76,1,18,0,13,5,20,2,3
31,2013-08-11,2,1,0,71,1,2,2,2,1,19,10,1,79,0,10,68,3,17,0,13,2,27,2,4
32,2013-08-18,1,2,0,71,1,3,3,2,0,19,11,1,69,0,15,60,2,17,0,13,5,26,2,5
33,2013-08-25,2,1,0,72,1,1,1,2,1,20,17,2,73,0,8,72,2,16,0,16,4,31,0,4
34,2013-09-01,3,2,0,73,0,1,2,2,0,18,14,1,76,0,10,71,2,27,0,12,5,25,4,2
35,2013-09-08,4,1,1,70,1,1,2,2,0,22,13,1,83,0,11,68,2,22,0,15,5,27,4,4
36,2013-09-15,4,1,0,74,0,2,3,4,0,17,17,0,71,0,12,66,1,24,0,15,11,25,0,2
37,2013-09-22,1,1,1,69,2,2,4,5,0,20,15,0,84,0,11,67,2,22,0,17,5,30,0,6
38,2013-09-29,2,2,0,69,1,2,1,6,0,21,18,2,78,0,12,56,1,24,0,16,4,22,3,4
39,2013-10-06,3,2,1,70,2,2,3,2,1,18,17,1,76,0,13,63,1,21,0,14,5,10,0,4
40,2013-10-13,2,2,0,70,2,3,2,4,0,19,14,2,81,0,13,63,2,23,0,15,5,26,6,4
41,2013-10-20,2,2,0,62,2,1,2,3,0,20,13,2,70,0,13,66,2,18,0,16,6,28,2,6
42,2013-10-27,3,1,1,65,1,3,2,3,2,23,15,1,86,0,10,70,2,26,0,16,4,23,4,4
43,2013-11-03,2,2,0,67,1,2,2,2,1,25,11,2,86,0,9,68,2,18,0,16,5,21,2,4
44,2013-11-10,2,1,0,65,2,3,2,3,0,19,13,1,71,0,13,64,2,23,0,14,4,22,0,5
45,2013-11-17,2,1,1,71,1,2,3,2,1,21,17,1,80,0,12,62,1,27,0,14,7,23,4,4
46,2013-11-24,2,1,0,68,1,4,1,2,0,19,10,2,74,0,16,62,4,31,0,19,6,24,3,4
47,2013-12-01,2,6,0,62,1,3,2,4,0,19,14,2,84,0,14,68,2,26,0,19,5,19,2,3
48,2013-12-08,3,6,2,67,1,1,3,3,0,17,12,3,83,0,14,68,1,23,0,14,8,36,2,5
49,2013-12-15,2,1,0,69,0,2,2,4,1,22,13,1,80,0,14,66,2,26,0,12,5,22,2,3
50,2013-12-22,3,2,0,80,1,2,2,2,0,21,8,0,76,0,14,68,2,36,0,15,4,29,2,4
51,2013-12-29,3,3,0,88,1,2,2,4,0,30,11,1,74,0,24,65,2,33,0,11,5,23,0,3
52,2014-01-05,2,7,1,77,2,2,2,4,0,35,14,1,79,0,22,82,1,16,0,18,3,25,4,2
53,2014-01-12,2,4,0,69,1,4,1,2,1,45,12,1,74,0,20,75,1,22,0,17,2,26,0,8
54,2014-01-19,2,2,0,75,1,3,2,4,0,60,15,1,81,0,17,73,2,19,0,17,8,23,4,2
55,2014-01-26,3,3,0,72,1,2,2,2,1,82,15,1,91,0,18,74,2,23,0,18,6,30,2,3
56,2014-02-02,2,7,0,69,1,3,3,4,1,98,18,1,83,0,17,79,1,17,0,16,5,16,3,3
57,2014-02-09,2,4,0,69,0,2,2,4,0,71,17,1,86,0,17,81,1,29,0,12,6,15,2,2
58,2014-02-16,3,2,0,73,1,2,3,3,0,54,13,2,85,0,12,70,1,25,0,14,2,27,3,6
59,2014-02-23,2,2,0,72,1,4,4,4,0,58,15,1,83,0,14,74,3,24,0,16,7,22,4,3
60,2014-03-02,2,7,1,76,1,2,3,2,1,44,11,1,71,0,8,83,2,24,0,13,7,22,4,5
61,2014-03-09,3,3,0,79,1,3,3,3,0,42,19,1,75,0,16,77,1,23,0,17,4,18,2,7
62,2014-03-16,2,1,0,77,1,1,2,1,1,33,13,1,79,0,9,81,3,24,0,13,3,18,2,3
63,2014-03-23,2,1,0,66,1,2,4,3,0,43,17,2,79,0,11,69,2,32,0,15,5,31,2,4
64,2014-03-30,3,1,0,70,1,2,3,2,0,45,15,3,87,0,11,69,3,23,0,19,6,19,3,3
65,2014-04-06,2,2,0,65,1,4,3,4,1,48,19,2,76,0,16,67,2,24,0,14,5,27,2,2
66,2014-04-13,3,2,1,73,1,4,2,2,1,61,15,2,97,0,9,67,2,34,0,15,2,31,2,5
67,2014-04-20,3,2,0,71,1,4,2,2,0,27,13,2,78,0,13,67,6,33,0,15,5,45,3,3
68,2014-04-27,2,2,0,66,1,3,3,3,1,20,14,2,78,0,13,62,1,24,0,15,5,31,2,3
69,2014-05-04,3,2,0,72,1,1,4,3,0,23,14,2,77,0,14,69,3,25,0,17,4,29,4,2
70,2014-05-11,3,2,0,78,1,3,2,4,1,23,10,2,76,0,11,75,2,31,0,16,4,28,3,3
71,2014-05-18,2,2,1,78,1,2,1,2,0,22,12,1,70,0,11,76,1,28,0,17,5,45,2,6
72,2014-05-25,2,2,1,81,1,3,2,2,1,21,10,2,77,0,11,77,2,23,0,17,6,43,3,5
