,date,anxiety,closing,entrepreneur,home,startup,bankruptcy,compensation,fired,layoff,tax,benefits,confidence,good,pink slip,unemployment,car,expect,happy,start business,better,worse,future,expectations,interest rate
0,2013-01-06,1,3,1,88,29,17,40,17,0,41,19,1,66,0,8,66,3,45,0,36,4,19,3,3
1,2013-01-13,2,1,0,82,25,12,0,17,0,59,15,2,64,0,11,65,4,42,0,27,3,18,2,2
2,2013-01-20,2,1,1,85,19,29,19,39,0,64,25,1,75,0,11,70,7,43,0,34,2,18,4,6
3,2013-01-27,3,3,0,76,32,39,24,36,1,100,16,1,68,0,10,67,6,50,0,27,6,23,4,6
4,2013-02-03,2,3,1,71,26,37,25,37,0,83,16,2,72,0,7,72,3,38,0,28,2,18,3,5
5,2013-02-10,1,4,1,74,38,32,19,41,0,57,17,1,62,0,6,51,5,43,0,28,3,19,2,3
6,2013-02-17,2,2,0,81,24,12,16,24,0,70,18,1,62,0,8,73,8,46,0,30,5,11,3,6
7,2013-02-24,3,1,1,79,13,16,33,0,1,64,19,3,62,0,8,70,8,43,0,31,3,16,4,6
8,2013-03-03,3,3,0,72,32,32,24,36,0,55,17,4,65,0,7,68,3,49,0,31,3,16,4,9
9,2013-03-10,5,2,1,74,43,20,26,30,0,62,21,2,63,0,7,72,2,44,0,29,3,16,3,5
10,2013-03-17,3,2,0,77,16,35,11,31,0,47,20,1,68,0,7,62,4,43,0,30,4,16,2,4
11,2013-03-24,2,2,1,76,16,25,11,45,0,58,21,3,79,0,7,68,3,45,0,35,6,18,4,5
12,2013-03-31,2,1,1,81,45,29,11,66,0,64,22,3,67,0,9,54,4,45,0,28,3,13,3,5
13,2013-04-07,2,1,0,86,15,37,12,27,0,79,23,3,58,0,8,78,6,39,0,36,6,21,2,5
14,2013-04-14,3,2,0,78,24,34,18,23,1,63,14,1,66,0,7,63,3,42,0,29,3,23,2,4
15,2013-04-21,2,1,1,82,16,28,11,100,0,42,22,2,60,0,9,74,1,52,0,35,6,21,2,5
16,2013-04-28,2,2,0,90,29,32,37,41,0,32,17,2,73,0,7,72,6,53,0,32,5,24,3,3
17,2013-05-05,2,2,0,84,26,18,48,24,0,40,16,2,64,0,4,74,4,44,0,32,3,24,0,3
18,2013-05-12,3,2,1,85,41,17,14,46,0,34,13,2,74,0,6,68,2,42,0,27,5,19,4,5
19,2013-05-19,3,1,0,89,23,27,25,35,1,33,19,2,62,0,6,63,7,51,0,24,2,14,0,3
20,2013-05-26,3,1,0,86,58,24,0,38,0,32,19,1,61,0,6,77,2,44,0,39,3,13,0,4
21,2013-06-02,1,1,1,88,19,30,20,27,2,24,16,2,59,0,7,71,4,38,0,22,3,13,4,6
22,2013-06-09,2,1,1,91,25,34,25,39,0,34,15,1,61,0,6,74,4,42,0,21,6,18,3,6
23,2013-06-16,3,2,0,91,67,24,34,39,0,33,12,1,61,0,8,69,3,43,0,27,4,14,4,4
24,2013-06-23,2,2,1,91,15,43,13,68,0,24,15,1,61,0,7,74,5,32,0,25,4,11,3,8
25,2013-06-30,3,2,1,88,27,30,15,45,0,22,11,3,70,0,8,74,2,48,0,25,6,16,3,5
26,2013-07-07,3,2,0,90,51,0,23,22,0,28,21,2,61,0,8,83,4,37,0,24,3,10,3,5
27,2013-07-14,2,1,0,91,18,50,50,23,0,25,13,0,60,0,8,72,3,37,0,19,6,11,3,5
28,2013-07-21,2,2,0,83,28,19,29,37,1,25,18,2,60,0,5,71,5,25,0,31,5,16,3,3
29,2013-07-28,3,2,1,95,39,37,14,28,0,30,14,0,52,0,6,78,2,40,0,25,3,23,3,7
30,2013-08-04,2,1,1,85,28,23,0,19,0,23,18,0,59,0,5,71,2,36,0,30,4,13,3,4
31,2013-08-11,2,3,0,92,39,33,24,33,0,22,16,1,62,0,3,69,3,43,0,26,3,25,5,6
32,2013-08-18,2,2,0,87,18,23,18,14,0,26,12,1,61,0,5,70,2,38,0,24,0,14,5,3
33,2013-08-25,3,2,0,80,34,21,21,17,0,22,18,0,53,0,5,69,3,39,0,25,8,19,0,3
34,2013-09-01,2,2,1,88,35,17,17,30,1,25,19,1,55,0,5,68,3,38,0,23,4,15,3,3
35,2013-09-08,2,1,1,84,21,21,16,31,0,27,13,2,65,0,5,70,4,36,0,27,2,12,2,7
36,2013-09-15,3,2,0,80,21,35,12,35,0,26,19,0,69,0,4,70,4,30,0,35,3,22,2,5
37,2013-09-22,2,1,0,81,38,31,18,51,0,28,18,2,65,0,8,67,5,43,0,23,4,25,2,8
38,2013-09-29,3,2,1,78,27,12,43,54,1,28,17,3,64,0,6,69,5,47,0,30,4,22,2,6
39,2013-10-06,3,1,0,74,31,35,27,24,0,30,18,1,67,0,6,63,5,37,0,31,11,28,6,5
40,2013-10-13,4,1,1,77,16,11,18,16,2,28,21,1,65,0,8,59,3,44,0,20,9,28,4,8
41,2013-10-20,3,2,0,71,31,21,15,42,0,27,18,2,62,0,5,63,4,35,0,33,5,24,2,6
42,2013-10-27,2,1,0,72,30,27,18,19,0,27,29,3,59,0,4,65,4,38,0,26,5,27,6,2
43,2013-11-03,2,2,1,80,42,18,24,31,0,28,19,2,68,0,6,77,3,47,0,35,7,19,5,5
44,2013-11-10,2,1,0,86,30,24,16,42,0,22,22,3,66,0,7,67,3,42,0,36,5,16,4,4
45,2013-11-17,2,1,0,78,40,23,18,40,0,27,22,3,70,0,6,70,4,45,0,26,2,23,2,4
46,2013-11-24,1,1,0,82,38,0,15,28,0,20,17,3,69,0,7,65,3,51,0,34,3,15,3,0
47,2013-12-01,3,4,0,78,38,21,38,34,0,23,20,1,68,0,8,75,3,38,0,31,4,19,2,3
48,2013-12-08,3,2,0,75,15,39,29,11,0,28,21,2,60,0,10,78,3,39,0,24,4,20,5,7
49,2013-12-15,2,2,0,81,23,19,34,60,0,36,19,1,69,0,8,76,4,53,0,29,4,15,4,2
50,2013-12-22,1,3,0,87,43,26,17,33,0,25,9,0,58,0,7,75,2,54,0,28,5,13,3,3
51,2013-12-29,3,2,1,84,36,16,22,68,0,37,17,0,67,0,11,80,2,70,0,22,8,19,2,2
52,2014-01-05,2,5,0,89,19,47,21,45,0,43,19,1,65,0,17,74,1,32,0,33,3,16,2,4
53,2014-01-12,2,4,0,82,36,10,44,39,1,44,23,1,67,0,11,67,3,44,0,30,8,18,2,3
54,2014-01-19,3,3,1,81,32,10,19,25,0,53,15,2,61,0,9,80,2,44,0,29,3,15,4,3
