,date,anxiety,closing,entrepreneur,home,startup,bankruptcy,compensation,fired,layoff,tax,benefits,confidence,good,pink slip,unemployment,car,expect,happy,start business,better,worse,future,expectations,interest rate
0,2013-01-06,3,2,0,85,2,3,3,5,0,46,17,1,79,0,24,69,1,20,1,0,3,23,2,2
1,2013-01-13,4,3,0,87,1,4,3,4,0,48,18,1,78,0,23,71,1,20,1,0,3,21,2,2
2,2013-01-20,3,3,1,86,1,3,3,3,0,58,18,1,76,0,21,81,1,20,1,0,3,21,2,2
3,2013-01-27,3,5,0,81,1,3,2,3,0,80,17,1,76,0,20,71,2,21,1,0,3,23,2,3
4,2013-02-03,3,4,1,80,1,3,2,3,0,75,14,1,76,0,18,68,2,20,1,0,3,23,2,2
5,2013-02-10,3,3,1,79,1,3,3,3,0,67,18,1,78,0,18,66,1,27,1,0,3,25,2,3
6,2013-02-17,4,3,0,79,1,4,3,3,0,67,17,1,80,0,18,74,2,21,1,0,4,24,2,2
7,2013-02-24,4,3,0,77,1,3,2,3,0,59,17,1,80,0,17,75,1,19,1,0,3,23,2,3
8,2013-03-03,4,5,0,78,1,3,3,2,0,56,17,1,78,0,18,78,2,21,1,0,4,23,2,3
9,2013-03-10,3,2,1,80,1,3,3,4,0,57,18,1,78,0,16,74,1,20,1,0,3,24,2,2
10,2013-03-17,3,4,0,81,1,3,3,3,0,56,17,1,77,0,17,70,1,21,1,0,3,23,2,3
11,2013-03-24,3,4,1,78,1,3,2,3,0,53,16,1,95,0,16,72,1,22,1,0,3,22,1,2
12,2013-03-31,3,2,0,80,1,3,2,4,0,57,16,1,79,0,17,73,1,24,1,0,3,25,2,3
13,2013-04-07,3,2,0,88,1,2,3,3,0,81,17,1,77,0,17,71,1,20,1,0,4,22,2,3
14,2013-04-14,3,2,0,81,1,3,3,3,0,75,16,1,75,0,18,68,1,20,1,0,4,23,2,3
15,2013-04-21,4,2,0,84,1,3,3,4,0,34,16,2,77,0,16,73,1,21,1,0,3,25,2,3
16,2013-04-28,3,2,0,88,1,2,2,3,0,32,17,2,78,0,15,74,1,22,1,0,3,31,2,3
17,2013-05-05,3,2,0,88,1,3,2,3,0,29,16,2,77,0,16,74,2,23,1,0,3,25,2,3
18,2013-05-12,3,2,0,87,1,3,2,3,0,29,15,1,75,0,17,76,1,27,1,0,4,20,2,2
19,2013-05-19,3,2,0,91,1,2,2,3,0,26,15,1,75,0,15,77,1,21,1,0,3,22,1,2
20,2013-05-26,3,3,0,95,1,3,3,3,0,25,15,1,77,0,15,82,1,21,1,0,3,23,1,2
21,2013-06-02,3,2,0,87,1,2,2,3,0,26,16,1,77,0,15,79,1,21,1,0,3,22,2,2
22,2013-06-09,3,3,0,85,1,3,3,3,0,28,14,1,75,0,15,79,1,21,1,0,3,22,1,3
23,2013-06-16,3,2,0,85,1,2,3,5,0,26,16,1,73,0,15,79,1,23,1,0,3,23,1,3
24,2013-06-23,3,2,0,88,1,2,2,7,0,27,16,1,75,0,16,79,1,19,1,0,3,19,1,3
25,2013-06-30,3,2,0,88,1,2,2,3,0,24,14,1,77,0,16,78,1,23,1,0,3,21,1,2
26,2013-07-07,3,3,0,87,1,2,2,3,0,26,16,1,75,0,19,81,1,19,1,0,3,20,1,3
