,date,anxiety,closing,entrepreneur,home,startup,bankruptcy,compensation,fired,layoff,tax,benefits,confidence,good,pink slip,unemployment,car,expect,happy,start business,better,worse,future,expectations,interest rate
0,2013-01-06,4,1,0,75,1,5,1,4,1,41,16,1,76,0,15,51,1,17,1,11,4,33,3,2
1,2013-01-13,2,3,1,74,1,3,2,4,1,45,16,2,80,0,13,51,1,15,0,11,6,27,2,3
2,2013-01-20,2,6,0,60,0,3,1,3,1,58,11,1,69,0,14,62,1,12,1,11,4,23,1,2
3,2013-01-27,2,6,0,58,0,4,1,3,0,76,12,0,68,0,15,58,1,12,1,11,5,30,2,1
4,2013-02-03,2,5,0,56,1,3,1,2,0,77,12,1,68,0,13,58,1,13,0,11,6,32,1,2
5,2013-02-10,3,3,0,60,0,3,1,3,0,65,11,1,69,0,11,60,1,18,1,11,4,30,2,2
6,2013-02-17,3,3,0,60,0,3,1,3,0,57,12,1,74,0,11,63,1,14,1,12,4,26,2,2
7,2013-02-24,2,4,0,58,0,3,1,2,0,47,12,1,68,0,10,62,1,14,1,12,5,29,2,1
8,2013-03-03,2,2,0,68,1,4,1,2,0,45,13,2,70,0,10,55,1,15,1,12,4,26,3,3
9,2013-03-10,4,1,1,72,1,2,1,3,0,44,14,1,79,0,8,51,1,18,0,11,7,41,4,7
10,2013-03-17,2,2,0,71,1,4,2,3,1,48,18,2,74,0,7,52,2,18,0,14,5,35,4,2
11,2013-03-24,2,1,1,68,1,2,3,2,0,46,12,1,95,0,8,58,1,19,1,14,7,29,3,3
12,2013-03-31,3,2,0,76,1,5,1,2,1,49,15,1,78,0,11,55,1,17,1,10,3,24,6,2
13,2013-04-07,2,3,1,73,1,2,1,2,1,60,14,2,77,0,10,49,2,17,1,10,7,36,7,4
14,2013-04-14,3,1,0,75,1,2,2,3,0,54,16,1,75,0,10,48,1,14,1,12,3,26,5,5
15,2013-04-21,3,1,1,77,1,2,2,3,0,29,14,2,88,0,11,51,0,14,1,10,3,30,5,6
16,2013-04-28,2,2,0,81,2,4,2,2,0,22,15,1,72,0,10,50,1,18,1,10,4,35,3,3
17,2013-05-05,2,2,0,82,1,4,2,2,0,25,14,1,76,0,6,53,1,17,1,13,8,25,5,4
18,2013-05-12,2,1,0,81,1,2,2,1,1,24,16,1,79,0,11,53,1,17,2,12,3,35,3,4
19,2013-05-19,2,2,1,86,1,3,1,2,1,26,13,2,73,0,7,58,1,17,1,11,2,21,4,3
20,2013-05-26,2,1,0,88,1,3,1,2,1,21,14,2,72,0,10,55,1,19,1,11,3,33,3,6
21,2013-06-02,2,2,0,78,1,3,3,2,0,22,16,3,68,0,5,57,1,14,1,10,3,24,3,6
22,2013-06-09,2,1,0,80,1,3,3,2,0,21,11,1,72,0,10,59,1,18,1,13,4,22,4,4
23,2013-06-16,3,2,1,79,1,3,1,5,1,16,15,1,75,0,10,58,1,19,1,14,5,20,2,4
24,2013-06-23,3,1,0,78,1,3,2,8,0,19,12,1,75,0,9,54,1,15,2,11,4,26,3,6
25,2013-06-30,2,1,0,68,1,2,0,2,0,15,11,0,67,0,10,62,1,13,1,11,3,21,1,2
26,2013-07-07,2,1,0,69,1,2,1,3,0,13,12,0,67,0,11,61,1,11,1,10,4,24,1,1
27,2013-07-14,2,2,0,72,1,7,1,2,0,14,11,0,67,0,11,67,1,13,1,11,4,21,1,2
28,2013-07-21,2,2,0,66,1,4,1,2,0,15,9,1,67,0,11,67,1,13,1,12,4,26,1,2
29,2013-07-28,2,1,0,66,1,2,1,2,0,15,13,0,67,0,9,64,1,12,1,10,4,22,2,3
30,2013-08-04,3,1,0,65,0,3,1,2,0,16,12,1,71,0,10,64,1,10,0,10,4,23,1,2
31,2013-08-11,3,1,0,64,0,2,1,2,0,14,10,1,67,0,10,65,1,13,1,10,5,25,1,2
32,2013-08-18,3,1,0,68,1,2,1,3,0,14,11,0,70,0,10,64,1,12,1,10,4,20,2,2
33,2013-08-25,2,1,0,68,1,3,1,2,0,15,10,1,66,0,9,60,1,11,1,10,4,21,2,3
34,2013-09-01,3,2,0,77,1,3,1,3,0,19,10,1,69,0,7,52,2,10,1,11,5,25,5,3
35,2013-09-08,3,1,0,67,1,1,1,3,0,21,15,2,74,0,7,51,1,14,1,10,5,23,2,4
36,2013-09-15,3,2,1,70,1,2,3,2,0,19,12,2,77,0,10,45,3,13,1,11,6,24,2,7
37,2013-09-22,4,1,1,72,1,1,2,3,1,21,12,1,76,0,9,57,2,13,0,12,6,29,3,2
38,2013-09-29,3,1,0,72,1,3,1,5,1,20,15,1,69,0,15,52,2,13,1,13,7,22,3,3
39,2013-10-06,3,2,0,70,1,2,2,3,1,18,15,1,73,0,11,48,2,14,1,9,4,19,2,5
40,2013-10-13,3,2,0,68,1,4,1,5,1,24,15,1,74,0,10,52,2,15,0,14,2,27,3,4
41,2013-10-20,3,2,1,73,1,2,1,3,1,23,15,2,72,0,10,50,1,17,1,12,4,32,2,6
42,2013-10-27,3,1,0,69,1,2,2,3,1,20,14,2,72,0,11,47,2,19,0,11,8,45,3,5
43,2013-11-03,3,3,0,68,1,5,2,5,1,19,20,1,79,0,13,51,2,14,1,12,5,35,5,3
44,2013-11-10,2,2,0,74,1,2,2,4,1,21,13,1,78,0,11,54,1,16,1,13,14,31,3,6
45,2013-11-17,3,3,0,68,1,2,1,3,1,20,15,2,77,0,10,49,2,16,1,12,5,31,4,4
46,2013-11-24,2,3,0,75,1,1,0,3,0,16,14,1,79,0,8,48,1,22,0,13,7,31,2,5
47,2013-12-01,2,3,0,70,1,3,1,3,0,21,11,1,88,0,11,59,2,16,1,14,7,29,3,4
48,2013-12-08,2,4,0,66,1,2,1,3,0,19,14,2,71,0,13,50,1,15,1,10,8,31,2,2
49,2013-12-15,2,8,1,66,0,2,1,4,0,17,12,1,75,0,14,53,2,17,1,14,5,22,3,3
50,2013-12-22,2,3,0,75,2,2,1,4,0,18,10,2,75,0,18,48,1,25,1,12,5,26,3,4
51,2013-12-29,2,3,0,81,1,1,1,9,0,27,14,1,81,0,18,54,1,26,1,12,7,23,3,3
52,2014-01-05,2,20,0,85,1,3,1,4,0,29,14,1,77,0,21,53,1,14,0,13,5,24,2,3
53,2014-01-12,2,4,0,75,1,2,1,4,1,39,15,1,89,0,21,53,1,14,1,12,4,31,5,2
54,2014-01-19,2,5,0,75,1,2,3,3,1,49,19,1,80,0,18,54,1,15,1,13,3,30,3,3
55,2014-01-26,3,15,0,71,1,2,2,2,1,71,16,1,79,0,20,57,1,14,1,13,5,29,4,3
56,2014-02-02,3,11,0,66,1,3,2,2,0,83,14,1,79,0,17,55,1,15,1,10,5,26,6,4
57,2014-02-09,3,4,1,73,1,2,2,2,1,79,17,1,83,0,12,57,2,22,1,12,6,19,2,6
58,2014-02-16,2,23,0,74,1,4,2,2,1,59,16,1,81,0,11,59,1,13,1,13,4,30,2,3
59,2014-02-23,3,13,1,79,1,2,2,4,0,50,16,2,79,0,13,54,1,15,0,15,5,27,2,3
60,2014-03-02,3,4,0,78,1,3,2,3,1,39,18,1,80,0,13,52,3,23,1,10,3,30,3,9
61,2014-03-09,3,8,0,76,1,3,1,2,0,37,17,1,70,0,14,63,1,19,1,12,3,27,4,5
62,2014-03-16,3,2,1,67,1,4,3,3,0,40,16,1,76,0,10,52,1,22,1,12,3,31,4,4
