,date,anxiety,closing,entrepreneur,home,startup,bankruptcy,compensation,fired,layoff,tax,benefits,confidence,good,pink slip,unemployment,car,expect,happy,start business,better,worse,future,expectations,interest rate
0,2013-01-06,2,3,1,84,3,2,2,3,0,51,21,0,65,0,9,59,3,17,0,18,0,34,0,7
1,2013-01-13,3,3,0,82,0,4,3,4,0,47,13,0,70,0,17,59,2,18,0,17,9,20,0,0
2,2013-01-20,2,3,1,94,2,4,2,4,0,67,18,2,84,0,15,68,4,10,0,16,8,43,7,0
3,2013-01-27,3,3,0,84,1,2,5,4,0,92,19,2,72,0,13,60,2,22,0,17,7,29,0,14
4,2013-02-03,3,7,0,77,1,5,3,2,0,92,16,0,83,0,14,60,2,16,0,14,0,42,7,7
5,2013-02-10,2,2,1,60,1,4,3,2,0,85,16,0,83,0,15,69,3,27,0,11,0,32,7,9
6,2013-02-17,1,2,1,78,0,3,3,2,0,82,25,2,70,0,12,67,3,14,0,14,7,56,8,11
7,2013-02-24,3,2,0,79,1,3,4,2,0,61,19,0,83,0,9,74,4,18,0,14,7,44,0,13
8,2013-03-03,3,1,2,80,2,4,3,4,2,58,20,2,71,0,11,68,2,18,0,13,7,41,0,9
9,2013-03-10,2,4,1,74,3,2,2,2,0,60,25,2,82,0,8,84,0,19,0,19,7,47,8,0
10,2013-03-17,5,2,0,69,1,4,3,5,0,52,19,0,70,0,5,68,2,14,0,12,0,37,0,0
11,2013-03-24,2,4,2,78,1,3,4,4,0,49,17,4,84,0,10,80,0,21,0,16,0,34,0,10
12,2013-03-31,3,4,1,77,1,2,2,2,2,54,16,4,59,0,9,64,2,21,0,14,11,46,7,11
13,2013-04-07,2,3,2,79,1,4,3,3,0,76,14,3,77,0,17,67,2,16,0,11,0,32,0,12
14,2013-04-14,2,2,1,74,1,3,4,4,0,64,18,0,67,0,6,70,2,16,0,19,7,31,0,6
15,2013-04-21,6,4,0,70,1,3,2,3,0,33,19,2,84,0,10,60,3,18,0,14,10,66,9,10
16,2013-04-28,3,1,2,70,1,0,0,0,0,38,15,2,76,0,11,57,2,16,0,12,13,40,0,0
17,2013-05-05,3,2,0,86,3,2,2,2,0,31,20,0,63,0,8,71,7,13,0,12,10,34,7,8
18,2013-05-12,2,3,0,81,1,2,4,3,0,36,14,2,80,0,15,74,3,29,0,14,7,28,14,12
19,2013-05-19,2,2,0,82,0,2,3,10,0,30,10,0,61,0,12,72,2,35,0,18,7,27,7,7
20,2013-05-26,0,3,0,86,2,5,3,0,0,24,20,0,79,0,10,78,0,15,0,21,0,38,0,12
21,2013-06-02,2,6,0,84,2,2,2,6,0,30,14,2,77,0,8,68,7,23,0,17,7,27,0,12
22,2013-06-09,3,2,1,76,1,0,2,2,0,21,22,0,64,0,10,78,2,15,0,17,10,22,0,7
23,2013-06-16,3,1,0,83,0,6,2,5,2,22,12,2,67,0,9,74,3,17,0,16,0,38,9,9
24,2013-06-23,2,1,1,66,1,5,4,5,0,22,14,2,76,0,11,74,3,26,0,16,8,37,7,18
25,2013-06-30,1,2,0,85,0,3,4,2,0,16,19,2,79,0,12,58,3,19,0,17,0,30,7,7
26,2013-07-07,3,2,2,78,2,2,5,4,0,25,15,0,67,0,7,71,2,17,0,17,7,33,0,7
27,2013-07-14,4,2,0,76,2,7,2,2,0,31,17,2,68,0,8,80,2,10,0,19,17,23,8,9
28,2013-07-21,2,2,0,84,1,4,4,4,0,44,16,2,66,0,12,83,2,14,0,12,6,31,20,18
29,2013-07-28,1,6,0,85,4,5,3,0,2,28,16,0,71,0,12,67,4,13,0,14,0,28,12,17
30,2013-08-04,3,3,1,80,0,4,2,6,0,20,13,0,63,0,5,62,3,15,0,15,7,26,7,7
31,2013-08-11,5,3,0,67,0,2,3,4,0,23,12,2,83,0,8,81,2,13,0,10,0,26,0,0
32,2013-08-18,4,3,1,75,1,4,2,5,0,26,9,2,76,0,12,73,2,16,0,10,7,26,0,0
33,2013-08-25,4,1,0,83,1,5,2,2,0,28,18,0,77,0,6,79,2,16,0,17,11,22,0,15
34,2013-09-01,2,1,0,76,4,5,2,2,0,24,16,2,65,0,9,81,5,18,0,17,0,53,8,0
35,2013-09-08,2,1,0,75,1,2,2,2,0,22,14,2,69,0,11,63,2,12,0,21,0,33,0,0
36,2013-09-15,2,3,0,75,2,3,3,4,2,25,17,3,74,0,8,66,2,19,0,14,13,44,6,6
37,2013-09-22,4,2,1,84,3,4,4,3,3,18,11,4,90,0,13,71,3,14,0,15,8,44,0,11
38,2013-09-29,3,4,1,72,1,4,5,4,0,31,20,2,70,0,18,65,3,16,0,15,11,21,0,6
39,2013-10-06,3,1,1,75,1,2,2,5,0,18,13,3,68,0,7,80,2,17,0,18,7,39,13,0
40,2013-10-13,4,3,0,76,1,0,2,3,0,19,16,0,68,0,10,67,2,17,0,18,7,32,0,0
41,2013-10-20,3,1,1,70,2,4,2,4,0,19,27,2,84,0,10,75,3,19,0,20,7,41,0,10
42,2013-10-27,4,2,0,61,1,6,10,4,0,15,16,0,83,0,9,75,2,21,0,16,7,49,0,8
43,2013-11-03,2,3,1,69,2,4,2,3,0,28,19,3,82,0,7,60,2,12,0,19,10,51,0,20
44,2013-11-10,3,2,0,77,2,2,2,4,2,22,17,2,78,0,9,70,2,19,0,18,13,48,0,0
45,2013-11-17,2,3,0,62,1,2,3,4,0,24,19,2,73,0,8,80,3,22,0,16,11,34,6,11
46,2013-11-24,1,2,0,73,2,3,2,4,0,11,13,0,64,0,14,64,3,30,0,12,7,41,7,7
47,2013-12-01,3,2,2,74,1,3,2,3,0,27,18,3,80,0,10,73,2,13,0,13,10,46,0,6
48,2013-12-08,2,1,0,58,1,4,2,3,0,22,15,0,80,0,6,67,3,21,0,14,13,52,6,0
49,2013-12-15,2,6,1,70,2,3,2,6,0,19,19,3,76,0,7,77,3,20,0,9,6,30,0,6
50,2013-12-22,2,2,2,76,1,2,4,7,0,15,11,0,77,0,8,63,2,28,0,17,0,43,0,7
51,2013-12-29,5,3,2,93,1,2,4,9,0,31,20,3,84,0,11,60,2,28,0,10,12,43,8,0
52,2014-01-05,3,5,1,74,2,2,5,6,0,46,22,0,77,0,11,66,4,17,0,14,6,28,6,6
53,2014-01-12,2,2,1,84,1,4,4,2,0,48,19,2,71,0,10,65,2,19,0,10,6,45,7,11
54,2014-01-19,2,2,0,76,3,4,4,4,0,59,15,3,90,0,8,69,2,17,0,15,10,39,6,6
55,2014-01-26,3,11,0,79,1,2,2,0,0,74,19,2,100,0,13,57,2,15,0,18,7,35,0,14
56,2014-02-02,3,6,0,70,1,3,6,4,0,100,18,2,72,0,11,73,2,15,0,21,6,29,6,6
57,2014-02-09,2,1,1,73,2,3,3,0,0,70,23,2,86,0,9,82,3,27,0,14,7,44,5,5
58,2014-02-16,4,3,1,63,3,4,4,2,0,65,17,0,83,0,6,77,3,19,0,18,7,25,0,7
59,2014-02-23,4,5,2,80,1,4,2,3,0,56,23,4,78,0,9,84,2,21,0,18,6,21,0,6
60,2014-03-02,3,3,1,87,2,2,2,2,0,53,15,2,85,0,14,66,2,22,0,15,10,29,0,7
