,date,anxiety,closing,entrepreneur,home,startup,bankruptcy,compensation,fired,layoff,tax,benefits,confidence,good,pink slip,unemployment,car,expect,happy,start business,better,worse,future,expectations,interest rate
0,2013-01-06,3,2,0,82,33,47,23,43,0,45,18,0,55,0,15,52,4,27,1,22,5,19,2,4
1,2013-01-13,3,2,1,75,28,44,32,30,0,49,18,1,54,0,12,51,1,26,1,20,3,25,2,2
2,2013-01-20,2,1,0,77,29,42,25,37,0,63,14,1,51,0,11,56,3,31,1,22,2,18,4,3
3,2013-01-27,2,2,1,76,30,48,33,26,0,90,21,2,53,0,9,55,4,33,2,22,2,20,2,3
4,2013-02-03,3,2,0,78,17,43,37,32,0,87,18,1,50,0,9,54,2,31,1,21,3,25,2,3
5,2013-02-10,3,2,0,75,23,36,30,30,0,74,22,2,55,0,9,58,2,53,1,22,4,23,2,5
6,2013-02-17,2,3,0,72,30,52,28,30,0,68,16,1,52,0,8,56,2,37,1,25,5,22,3,4
7,2013-02-24,2,3,0,71,25,29,36,26,0,58,17,2,51,0,8,58,2,30,1,27,4,25,3,4
8,2013-03-03,3,1,0,77,39,35,28,44,0,57,19,2,58,0,9,59,3,36,1,22,2,24,0,5
9,2013-03-10,1,2,1,80,29,33,39,48,0,55,17,1,50,0,7,57,2,36,1,22,2,23,2,3
10,2013-03-17,3,2,0,75,35,39,30,41,0,50,15,1,52,0,8,60,3,38,1,21,4,18,2,2
11,2013-03-24,2,2,0,76,38,21,19,66,0,50,17,2,68,0,8,55,2,34,1,22,4,25,1,4
12,2013-03-31,3,2,0,76,34,40,42,45,0,62,18,1,53,0,8,57,2,39,1,21,4,17,2,4
13,2013-04-07,3,1,0,79,24,32,28,34,1,86,19,1,51,0,8,60,3,28,0,20,5,18,0,4
14,2013-04-14,2,2,1,77,18,44,40,47,0,86,17,1,48,0,6,58,2,32,1,21,1,27,4,5
15,2013-04-21,3,2,0,79,37,35,30,37,0,34,17,2,55,0,8,58,3,32,0,22,3,25,2,3
16,2013-04-28,3,2,0,78,33,37,37,46,0,28,17,2,52,0,6,54,2,36,1,20,3,31,3,5
17,2013-05-05,2,2,0,79,28,28,28,32,0,27,19,2,51,0,8,58,2,39,1,22,4,26,3,3
18,2013-05-12,2,1,1,84,24,31,24,28,1,26,17,1,53,0,7,60,2,50,1,19,3,20,2,2
19,2013-05-19,3,2,0,87,32,44,22,26,0,23,13,2,52,0,9,61,2,33,1,21,5,22,2,4
20,2013-05-26,3,1,0,95,20,25,35,33,0,19,17,1,49,0,6,63,3,33,1,20,3,22,1,2
21,2013-06-02,2,2,0,84,49,24,20,37,0,20,16,1,50,0,7,60,1,30,2,23,4,17,2,2
22,2013-06-09,4,1,0,86,39,32,20,28,0,23,17,2,52,0,6,65,3,34,2,22,3,21,2,2
23,2013-06-16,2,1,0,86,22,27,18,61,1,23,18,1,51,0,7,66,1,35,1,24,4,18,2,4
24,2013-06-23,3,1,0,79,25,34,21,95,0,25,19,1,52,0,6,63,1,30,1,20,3,20,1,5
25,2013-06-30,3,2,0,87,22,18,28,39,0,16,16,1,52,0,7,62,2,38,3,21,5,18,1,4
26,2013-07-07,4,2,0,83,23,38,34,36,0,24,17,1,52,0,7,59,2,35,1,20,2,21,2,3
27,2013-07-14,2,2,0,83,43,47,23,34,0,26,16,1,51,0,7,66,2,31,1,23,4,22,3,3
28,2013-07-21,3,1,0,85,32,23,27,36,0,34,11,1,52,0,9,60,3,32,1,18,5,22,2,3
29,2013-07-28,3,2,0,82,38,40,44,29,0,46,16,1,55,0,7,65,1,26,1,20,3,30,1,2
30,2013-08-04,2,1,1,80,36,29,19,23,0,26,15,1,53,0,8,63,2,28,1,21,5,17,3,4
31,2013-08-11,2,2,0,83,25,21,31,40,0,23,16,2,51,0,6,56,2,29,2,20,5,18,2,2
32,2013-08-18,3,2,0,71,30,24,35,33,0,24,14,1,49,0,6,61,2,29,1,24,4,17,3,4
33,2013-08-25,3,1,1,77,37,27,37,44,0,22,14,1,49,0,6,56,1,31,1,22,4,19,2,2
34,2013-09-01,3,1,1,78,48,41,13,22,0,22,13,1,51,0,6,62,2,31,2,21,3,21,2,3
35,2013-09-08,3,2,0,79,30,19,31,38,1,21,15,0,48,0,6,53,2,32,1,22,4,18,2,3
36,2013-09-15,3,2,0,75,28,35,34,34,0,22,17,0,49,0,6,51,3,33,1,23,4,20,2,4
37,2013-09-22,3,1,0,79,25,22,15,22,0,22,14,1,54,0,7,55,2,29,1,23,3,17,2,4
38,2013-09-29,3,2,0,76,24,33,26,64,0,22,19,0,47,0,11,56,1,32,1,24,4,22,1,3
39,2013-10-06,3,2,0,73,16,40,23,35,0,27,18,2,51,0,10,50,2,29,1,20,3,21,2,3
40,2013-10-13,4,2,0,72,26,35,36,45,1,29,19,2,53,0,8,51,3,30,1,19,3,25,1,5
41,2013-10-20,3,1,0,75,33,21,33,36,0,25,17,2,54,0,5,52,3,30,1,19,4,25,3,4
42,2013-10-27,3,1,0,71,26,17,26,49,0,25,18,2,54,0,7,54,3,38,1,21,4,26,2,2
43,2013-11-03,3,1,0,82,25,27,39,32,0,21,23,2,52,0,7,57,3,35,1,23,2,26,2,2
44,2013-11-10,3,1,0,78,46,29,15,46,0,24,16,1,52,0,7,51,2,37,1,24,2,20,2,2
45,2013-11-17,3,1,0,77,38,35,20,38,0,22,18,1,51,0,6,55,2,36,1,22,2,18,2,2
46,2013-11-24,3,2,0,85,36,16,22,44,0,18,14,1,56,0,6,53,2,50,2,24,4,28,1,2
47,2013-12-01,4,4,1,76,34,26,38,38,0,24,13,2,55,0,7,60,2,31,1,20,3,26,3,2
48,2013-12-08,3,2,1,72,30,40,17,50,0,24,16,1,56,0,8,53,1,35,1,23,4,21,2,4
49,2013-12-15,3,2,1,71,19,37,19,45,0,29,12,1,54,0,6,52,2,42,1,24,3,24,3,2
50,2013-12-22,2,2,0,75,20,24,20,54,0,25,13,2,51,0,6,53,2,55,1,21,1,16,2,3
51,2013-12-29,3,2,0,87,21,16,13,72,1,32,19,1,59,0,8,61,2,61,1,23,4,19,2,3
52,2014-01-05,3,2,0,86,29,26,41,41,0,41,18,1,59,0,12,54,2,31,1,22,4,26,1,1
53,2014-01-12,2,3,0,83,21,30,37,26,0,46,20,2,55,0,11,55,2,31,2,20,3,20,1,3
54,2014-01-19,3,2,0,77,21,27,26,24,0,57,17,1,53,0,9,56,2,30,1,22,4,23,1,3
55,2014-01-26,2,2,0,79,16,37,29,43,0,78,20,1,53,0,10,58,2,31,1,25,3,26,2,2
56,2014-02-02,3,4,1,78,29,29,33,24,0,90,18,1,53,0,11,51,2,32,1,23,6,25,1,3
57,2014-02-09,3,2,0,77,33,34,26,31,1,74,18,1,59,0,7,63,3,54,1,20,4,22,2,4
58,2014-02-16,3,3,0,82,38,42,32,58,0,68,21,1,53,0,6,57,3,35,1,20,3,25,2,4
59,2014-02-23,3,4,0,82,26,38,23,43,0,63,20,2,57,0,7,61,2,40,1,22,3,22,3,5
60,2014-03-02,3,2,1,79,23,20,35,36,0,54,24,1,56,0,7,56,3,42,1,21,3,27,2,5
61,2014-03-09,2,2,0,79,17,25,29,48,0,46,19,2,53,0,8,58,2,40,2,24,4,22,2,2
62,2014-03-16,3,2,0,81,38,36,21,22,0,50,19,2,54,0,7,57,1,47,1,23,3,25,2,2
63,2014-03-23,3,2,1,80,24,25,27,37,0,49,19,1,60,0,9,60,2,38,2,19,2,24,2,3
