,date,anxiety,closing,entrepreneur,home,startup,bankruptcy,compensation,fired,layoff,tax,benefits,confidence,good,pink slip,unemployment,car,expect,happy,start business,better,worse,future,expectations,interest rate
0,2013-01-06,2,3,1,74,1,3,4,2,1,41,14,1,56,0,7,59,2,21,0,18,3,15,0,2
1,2013-01-13,1,1,1,78,1,4,3,3,0,50,11,1,64,0,4,65,3,16,0,13,7,27,2,5
2,2013-01-20,2,2,0,76,1,3,2,1,0,60,11,0,59,0,5,70,1,19,0,18,5,28,3,5
3,2013-01-27,3,2,1,84,1,3,3,3,0,91,8,3,58,0,5,72,2,21,0,16,3,25,3,5
4,2013-02-03,2,1,0,81,1,4,3,4,2,93,11,1,58,0,3,70,2,24,0,15,4,24,2,7
5,2013-02-10,2,1,1,90,1,2,4,3,0,80,13,0,69,0,4,72,3,28,0,14,3,24,0,5
6,2013-02-17,2,2,1,77,0,2,3,4,0,78,11,2,63,0,3,69,1,22,0,17,3,36,0,7
7,2013-02-24,3,2,1,74,1,3,4,3,0,75,11,1,54,0,3,88,2,20,0,12,2,28,0,6
8,2013-03-03,2,1,1,89,1,1,4,2,2,68,14,1,59,0,5,64,2,23,0,14,3,40,0,5
9,2013-03-10,2,1,1,83,1,2,3,3,0,62,10,2,53,0,6,82,2,23,0,14,5,19,2,3
10,2013-03-17,3,2,1,73,3,3,2,1,1,42,12,1,56,0,5,74,2,19,0,16,4,20,0,5
11,2013-03-24,2,2,1,80,1,2,3,2,0,56,10,2,70,0,6,64,2,23,0,13,4,19,3,3
12,2013-03-31,1,1,0,78,1,2,4,3,0,49,12,1,72,0,5,69,2,27,0,13,4,17,0,3
13,2013-04-07,3,1,1,86,3,3,2,1,0,57,13,2,63,0,8,64,2,24,0,13,4,18,5,2
14,2013-04-14,2,1,0,78,0,2,4,3,0,57,8,2,62,0,3,64,2,19,0,15,2,30,3,4
15,2013-04-21,2,1,1,71,1,2,2,2,0,32,12,1,53,0,4,79,2,25,0,16,10,27,3,6
16,2013-04-28,2,1,0,74,1,2,2,2,0,32,9,0,57,0,5,64,2,15,0,22,4,22,0,5
17,2013-05-05,1,1,1,68,1,2,4,2,0,34,10,0,60,0,4,78,1,20,0,12,4,26,2,2
