,date,anxiety,closing,entrepreneur,home,startup,bankruptcy,compensation,fired,layoff,tax,benefits,confidence,good,pink slip,unemployment,car,expect,happy,start business,better,worse,future,expectations,interest rate
0,2013-01-06,2,2,0,90,2,6,8,6,0,47,18,0,69,0,16,47,3,22,0,13,19,23,6,0
1,2013-01-13,2,0,0,66,2,3,3,4,0,51,15,3,79,0,16,74,2,23,0,9,7,12,0,0
2,2013-01-20,3,2,0,86,0,0,3,9,0,41,11,3,79,0,15,57,4,20,0,9,6,10,7,8
3,2013-01-27,3,2,0,76,2,6,4,6,0,97,16,0,76,0,19,66,4,16,0,11,6,10,0,6
4,2013-02-03,5,4,0,68,2,5,4,9,0,80,9,0,73,0,19,49,4,24,0,11,6,11,0,8
5,2013-02-10,0,3,2,74,3,6,0,3,0,73,16,5,89,0,18,55,0,19,0,13,6,13,0,10
6,2013-02-17,3,4,0,92,2,5,3,4,0,58,17,7,57,0,21,59,0,16,0,6,6,10,0,6
7,2013-02-24,5,2,0,83,2,8,3,3,0,50,13,4,82,0,10,70,0,18,0,11,0,11,0,0
8,2013-03-03,2,0,0,70,2,3,6,3,0,51,18,0,94,0,16,59,0,17,0,15,0,13,0,0
9,2013-03-10,3,2,0,72,2,4,3,4,0,50,14,7,68,0,14,64,0,18,0,9,0,26,0,10
10,2013-03-17,3,2,0,80,3,6,3,4,0,46,20,3,86,0,8,72,4,19,0,13,0,17,0,6
11,2013-03-24,2,0,2,80,2,4,4,4,0,36,11,3,82,0,15,68,2,22,0,10,0,16,0,0
12,2013-03-31,5,3,0,96,2,3,9,4,0,35,15,0,72,0,8,65,0,13,0,17,6,24,9,0
13,2013-04-07,3,2,0,83,0,0,3,4,0,51,15,3,75,0,8,60,2,14,0,20,6,11,0,8
14,2013-04-14,0,4,0,79,3,4,3,3,0,52,19,5,61,0,14,62,3,15,0,12,0,17,16,0
15,2013-04-21,2,3,0,82,3,3,5,5,0,27,18,3,95,0,10,57,5,12,0,13,0,17,0,7
16,2013-04-28,3,3,1,66,1,3,6,4,0,18,14,2,72,0,6,57,4,13,0,13,5,18,0,5
17,2013-05-05,4,5,0,82,3,0,3,0,0,20,12,3,88,0,6,54,2,21,0,10,8,11,0,0
18,2013-05-12,6,2,2,89,2,3,3,6,0,27,10,3,83,0,10,78,2,21,0,15,0,12,0,6
19,2013-05-19,4,2,2,84,2,7,3,3,0,27,14,0,74,0,14,66,2,17,0,14,0,21,6,6
20,2013-05-26,2,2,2,93,2,3,3,0,0,23,21,4,77,0,7,71,2,18,0,10,0,24,0,6
21,2013-06-02,7,3,0,85,2,3,0,3,0,22,12,0,89,0,13,68,0,18,0,18,0,20,9,0
22,2013-06-09,3,2,0,95,2,13,3,4,0,21,10,4,72,0,14,72,3,13,0,16,0,12,7,8
23,2013-06-16,7,5,2,99,0,8,6,3,0,27,8,3,82,0,13,82,5,20,0,12,7,20,0,0
24,2013-06-23,5,2,2,96,0,3,4,6,0,16,10,0,64,0,10,71,5,22,0,15,0,15,0,7
25,2013-06-30,5,2,0,79,2,3,4,4,0,27,9,7,52,0,9,66,3,16,0,12,10,7,0,0
26,2013-07-07,4,3,0,84,2,4,4,4,0,20,9,3,76,0,16,81,2,12,0,15,10,12,0,0
27,2013-07-14,9,0,2,97,3,5,4,3,0,31,3,3,71,0,11,78,2,16,0,16,7,10,7,7
28,2013-07-21,2,4,0,73,2,3,0,3,0,18,10,0,69,0,13,70,3,11,0,15,8,8,7,0
29,2013-07-28,3,5,0,81,5,6,9,0,0,25,10,4,64,0,10,71,4,8,0,20,0,19,0,0
30,2013-08-04,2,4,2,79,5,4,3,3,0,19,17,3,61,0,9,62,3,9,0,15,8,26,0,13
31,2013-08-11,2,3,0,69,2,0,7,5,0,26,13,6,75,0,12,65,3,14,0,11,0,19,8,8
32,2013-08-18,4,3,0,89,2,6,4,0,0,26,13,3,54,0,14,65,2,13,0,7,7,10,0,0
33,2013-08-25,3,3,0,78,2,5,3,5,0,15,7,0,62,0,7,72,3,20,0,13,13,14,0,0
34,2013-09-01,2,2,2,79,2,4,3,4,0,15,12,3,67,0,12,62,2,15,0,10,15,26,0,8
35,2013-09-08,4,3,0,59,3,3,0,4,0,17,12,4,56,0,13,68,0,16,0,12,9,19,7,13
36,2013-09-15,2,3,2,74,2,7,0,0,0,20,10,3,87,0,10,68,0,10,0,14,6,7,6,0
37,2013-09-22,3,2,0,78,2,6,3,4,0,23,14,4,59,0,6,61,2,21,0,10,0,10,7,6
38,2013-09-29,5,2,2,80,0,3,0,7,0,25,18,3,63,0,15,71,3,12,0,15,9,18,8,6
39,2013-10-06,4,4,0,83,3,3,6,4,0,20,13,6,64,0,10,67,4,17,0,10,6,19,7,0
40,2013-10-13,4,4,0,73,2,0,3,3,0,36,18,4,76,0,9,60,0,16,0,12,0,17,7,7
41,2013-10-20,6,2,0,58,2,4,5,3,0,20,21,3,74,0,11,71,3,14,0,12,7,22,7,11
42,2013-10-27,7,2,0,62,2,3,4,9,0,25,17,3,90,0,16,62,0,21,0,10,6,19,6,7
43,2013-11-03,6,2,0,63,3,3,0,3,0,21,16,0,66,0,15,62,2,18,0,15,6,34,0,0
44,2013-11-10,5,0,0,80,2,3,3,5,0,29,14,3,59,0,14,60,4,23,0,19,0,29,0,6
45,2013-11-17,5,2,0,68,2,3,5,6,0,19,13,0,81,0,18,68,2,16,0,14,0,20,6,0
46,2013-11-24,0,2,0,70,3,0,3,3,0,24,13,3,70,0,15,61,2,30,0,11,6,19,0,18
47,2013-12-01,4,3,0,70,2,3,7,6,0,18,9,7,65,0,15,87,3,20,0,12,6,18,6,6
48,2013-12-08,5,2,0,69,2,4,0,5,0,18,11,0,83,0,23,56,3,16,0,9,6,15,6,6
49,2013-12-15,3,3,0,66,2,6,4,4,0,19,19,4,74,0,13,65,2,30,0,16,8,15,6,0
50,2013-12-22,2,2,0,72,2,10,0,0,0,19,11,0,63,0,16,63,2,32,0,17,12,20,0,0
51,2013-12-29,5,3,0,76,2,3,3,5,0,22,15,0,76,0,18,57,2,25,0,12,0,18,0,0
52,2014-01-05,4,3,0,83,3,3,4,5,0,32,20,4,75,0,20,56,6,11,0,16,10,23,0,9
53,2014-01-12,4,3,0,86,3,0,11,8,0,37,21,0,73,0,11,59,0,18,0,17,0,21,0,0
54,2014-01-19,4,0,2,68,2,4,7,3,0,53,22,0,68,0,16,67,2,16,0,14,8,21,0,6
55,2014-01-26,3,0,3,81,2,3,3,3,0,74,13,3,93,0,20,62,2,8,0,14,15,12,6,6
56,2014-02-02,3,4,0,74,2,0,3,7,0,60,20,3,79,0,24,55,2,17,0,14,9,30,0,8
57,2014-02-09,3,4,2,83,2,4,0,3,0,66,19,3,78,0,15,61,2,27,0,10,6,10,0,0
58,2014-02-16,3,7,1,75,3,6,4,3,0,50,14,3,71,0,14,78,2,24,0,12,17,15,6,6
59,2014-02-23,2,4,0,80,2,3,5,4,0,46,33,0,67,0,11,69,2,19,0,17,0,14,0,11
60,2014-03-02,3,3,0,82,2,3,3,3,0,26,21,0,83,0,16,71,0,22,0,14,7,11,12,6
61,2014-03-09,3,2,0,74,2,3,0,3,0,54,17,5,77,0,14,68,2,18,0,15,6,26,0,6
62,2014-03-16,4,1,0,72,0,6,3,3,0,38,16,0,81,0,10,72,0,18,0,15,0,23,6,11
63,2014-03-23,5,1,2,73,1,5,5,0,0,49,18,0,68,0,8,89,2,23,0,14,7,15,6,12
64,2014-03-30,4,3,0,75,2,5,3,3,0,40,20,2,82,0,10,62,3,22,0,16,10,30,0,6
65,2014-04-06,5,2,1,71,2,2,5,3,0,76,9,0,64,0,9,61,2,20,0,12,10,10,10,0
66,2014-04-13,3,3,0,60,2,3,4,3,0,75,15,4,80,0,10,66,2,23,0,10,6,18,5,6
67,2014-04-20,2,1,0,87,1,4,0,5,0,28,16,0,61,0,10,62,2,24,0,7,6,18,0,0
68,2014-04-27,4,3,1,65,1,3,3,3,0,23,8,3,77,0,8,51,2,23,0,16,5,16,0,9
69,2014-05-04,3,3,2,81,4,6,3,3,0,23,14,0,76,0,11,64,2,22,0,14,8,20,0,6
70,2014-05-11,6,4,2,74,2,3,0,4,0,28,11,0,74,0,6,68,0,34,0,15,10,31,6,13
71,2014-05-18,4,3,2,80,2,3,6,4,0,26,17,3,79,0,12,84,2,20,0,17,0,19,0,0
72,2014-05-25,5,2,0,78,2,6,0,4,0,22,13,3,69,0,14,84,3,23,0,12,0,43,7,7
73,2014-06-01,4,2,0,93,2,3,3,4,0,19,13,3,70,0,12,65,2,22,0,15,9,18,0,9
74,2014-06-08,5,3,0,97,2,3,3,3,0,25,17,0,82,0,10,87,4,15,0,12,7,8,0,7
75,2014-06-15,6,2,0,86,2,5,0,8,0,17,10,4,71,0,5,68,3,20,0,8,7,32,0,7
76,2014-06-22,4,3,0,72,2,0,0,0,0,15,8,4,73,0,11,77,0,9,0,13,0,17,0,7
77,2014-06-29,2,2,2,92,0,6,4,4,0,18,12,0,69,0,3,87,2,13,0,11,0,18,0,0
78,2014-07-06,3,3,2,76,2,7,3,4,0,24,15,0,79,0,18,74,4,11,0,16,0,9,0,7
79,2014-07-13,4,4,0,76,2,5,3,5,0,21,11,3,69,0,15,74,2,19,0,12,0,7,0,0
80,2014-07-20,3,2,0,75,2,3,5,6,0,20,16,4,74,0,9,79,2,22,0,10,0,32,7,7
81,2014-07-27,3,2,0,79,2,3,6,7,0,24,12,0,67,0,10,79,4,19,0,11,13,20,0,0
82,2014-08-03,3,2,0,82,2,6,10,3,0,15,8,0,72,0,10,91,2,14,0,7,12,15,0,9
83,2014-08-10,5,4,0,73,2,3,0,3,0,21,7,0,74,0,12,88,2,12,0,14,6,31,0,6
84,2014-08-17,4,2,0,73,2,3,8,6,0,19,11,0,71,0,4,73,3,15,0,11,0,17,13,0
85,2014-08-24,7,2,2,85,4,4,3,3,0,22,12,4,60,0,4,71,2,11,0,15,0,15,6,0
86,2014-08-31,4,0,0,85,0,6,3,3,0,19,18,0,86,0,12,71,0,16,0,16,0,16,6,8
87,2014-09-07,4,1,1,79,2,4,3,3,0,24,16,0,72,0,11,66,3,21,0,15,11,20,0,6
88,2014-09-14,4,2,2,84,0,2,3,3,0,18,14,2,81,0,6,59,4,17,0,18,5,26,0,6
