,date,anxiety,closing,entrepreneur,home,startup,bankruptcy,compensation,fired,layoff,tax,benefits,confidence,good,pink slip,unemployment,car,expect,happy,start business,better,worse,future,expectations,interest rate
0,2013-01-06,4,1,1,83,1,4,2,4,0,54,17,3,69,0,6,59,2,41,0,13,4,17,6,8
1,2013-01-13,2,2,1,77,0,3,2,2,0,59,16,2,66,0,5,64,3,44,0,11,8,29,0,5
2,2013-01-20,2,2,0,79,2,2,0,3,0,76,14,2,70,0,10,76,3,37,0,11,13,20,8,4
3,2013-01-27,3,2,0,79,0,2,2,2,0,100,15,1,69,0,7,69,1,45,0,15,0,15,4,8
4,2013-02-03,2,3,0,79,4,3,6,2,0,70,14,1,68,0,6,59,3,43,0,18,5,15,5,4
5,2013-02-10,3,2,0,76,2,2,2,3,2,61,12,1,69,0,6,67,3,60,0,8,7,33,6,4
6,2013-02-17,3,3,1,74,1,2,0,2,0,62,9,2,67,0,6,72,2,46,0,18,5,24,5,5
7,2013-02-24,2,5,0,66,1,3,0,2,0,44,11,0,71,0,5,71,2,50,0,14,11,30,0,5
8,2013-03-03,3,2,1,71,1,3,3,2,0,48,15,3,70,0,5,79,3,39,0,11,4,15,4,6
9,2013-03-10,1,2,0,85,1,2,0,4,0,54,12,2,63,0,4,82,0,52,0,9,6,24,0,5
10,2013-03-17,3,2,1,68,1,2,3,4,0,38,12,0,74,0,5,72,0,44,0,15,6,25,6,0
11,2013-03-24,2,3,0,67,1,2,4,3,2,40,12,2,86,0,6,73,2,47,0,16,6,26,5,0
12,2013-03-31,1,2,0,69,2,2,2,2,0,42,12,2,65,0,5,76,2,48,0,16,8,22,8,7
13,2013-04-07,3,2,2,74,1,4,3,4,0,48,11,4,73,0,5,66,1,39,0,14,8,17,7,7
14,2013-04-14,2,3,1,70,1,2,4,4,0,50,11,1,66,0,5,62,2,42,0,11,4,27,4,9
15,2013-04-21,1,3,0,75,1,3,2,3,0,28,15,0,63,0,6,67,3,47,0,8,0,28,0,7
16,2013-04-28,2,1,1,69,1,2,3,3,0,22,17,1,61,0,3,72,1,49,0,11,4,23,0,4
17,2013-05-05,2,1,0,74,1,4,2,3,2,23,10,1,64,0,2,75,1,50,0,16,4,17,0,6
18,2013-05-12,5,3,1,74,2,2,4,2,2,27,17,1,58,0,6,71,2,46,0,15,6,17,0,7
19,2013-05-19,4,2,1,80,2,2,3,2,0,27,13,2,62,0,4,70,1,50,0,10,8,23,6,6
20,2013-05-26,1,1,1,87,1,4,3,4,0,19,12,3,68,0,6,75,2,49,0,13,4,9,6,4
21,2013-06-02,1,2,1,85,1,2,2,4,0,21,12,3,61,0,9,83,2,53,0,14,4,15,0,4
22,2013-06-09,1,1,0,78,3,2,2,4,0,18,12,1,71,0,4,87,2,43,0,14,0,14,4,10
23,2013-06-16,4,1,0,87,2,3,2,6,2,15,12,0,61,0,7,79,2,36,0,16,4,20,0,9
24,2013-06-23,5,1,1,100,1,2,0,4,2,23,9,2,61,0,5,97,1,28,0,20,6,23,0,0
25,2013-06-30,2,1,1,76,2,4,4,4,0,20,11,2,59,0,5,73,2,43,0,14,9,10,5,5
26,2013-07-07,3,1,0,83,2,4,2,6,0,19,11,0,59,0,4,89,4,46,0,10,9,6,0,10
27,2013-07-14,2,1,1,88,1,3,2,2,0,26,15,0,60,0,7,65,2,39,0,14,5,17,5,6
28,2013-07-21,3,2,1,84,2,3,2,3,0,29,11,2,67,0,4,82,5,34,0,13,7,25,4,4
29,2013-07-28,4,2,0,79,1,2,0,3,0,38,10,3,67,0,5,79,2,40,0,15,8,22,4,4
30,2013-08-04,3,3,1,77,2,2,2,2,0,41,13,2,48,0,5,74,3,41,0,11,4,27,4,6
31,2013-08-11,4,2,0,79,1,2,3,4,0,21,12,1,68,0,7,79,2,32,0,12,6,26,0,7
32,2013-08-18,4,1,0,80,1,4,4,12,0,20,9,0,51,0,7,72,2,36,0,12,5,14,4,8
33,2013-08-25,4,1,1,83,2,3,2,4,0,17,11,2,53,0,7,66,2,31,0,16,6,27,4,9
34,2013-09-01,2,1,1,76,1,5,8,4,0,17,10,2,59,0,4,66,1,40,0,13,5,21,4,4
35,2013-09-08,1,3,2,74,1,2,2,6,0,20,14,1,61,0,5,66,2,35,0,14,8,22,10,4
36,2013-09-15,4,2,1,75,1,0,1,2,0,23,13,1,61,0,5,73,1,30,0,15,4,23,0,4
37,2013-09-22,3,3,2,62,1,0,4,4,2,29,15,4,68,0,3,72,3,39,0,17,16,20,0,4
38,2013-09-29,2,4,0,71,2,2,2,4,2,28,13,1,58,0,4,74,1,42,0,12,4,20,0,0
39,2013-10-06,1,3,1,68,1,2,4,2,1,27,10,1,68,0,8,71,1,35,0,15,8,31,4,0
40,2013-10-13,1,2,1,72,1,1,1,3,0,22,10,1,70,0,5,68,1,39,0,18,6,26,4,4
41,2013-10-20,1,2,0,63,2,3,3,5,0,28,14,1,75,0,6,69,3,40,0,13,6,18,5,5
42,2013-10-27,1,1,1,66,1,3,1,3,2,20,12,1,61,0,5,62,3,39,0,13,0,24,4,8
43,2013-11-03,1,2,2,74,2,1,3,2,1,29,17,0,74,0,4,73,2,34,0,13,10,22,4,0
44,2013-11-10,1,1,0,69,2,3,3,3,0,27,17,4,68,0,8,64,2,38,0,21,6,26,4,4
45,2013-11-17,3,1,0,67,1,2,2,4,0,30,12,2,69,0,5,70,2,43,0,13,5,28,5,0
46,2013-11-24,2,1,0,69,1,3,2,2,0,16,12,0,64,0,4,60,1,57,0,13,4,26,4,5
