,date,anxiety,closing,entrepreneur,home,startup,bankruptcy,compensation,fired,layoff,tax,benefits,confidence,good,pink slip,unemployment,car,expect,happy,start business,better,worse,future,expectations,interest rate
0,2013-01-06,3,2,0,86,1,2,3,2,0,53,13,1,85,0,15,43,1,13,1,10,7,30,2,4
1,2013-01-13,3,2,0,80,1,4,2,3,0,52,18,1,80,0,16,44,1,13,1,10,5,32,2,3
2,2013-01-20,2,2,0,88,2,4,2,2,0,64,18,1,76,0,21,45,1,12,1,10,5,33,8,4
3,2013-01-27,3,2,1,82,2,4,3,2,1,87,20,1,87,0,14,44,1,11,0,9,6,31,5,3
4,2013-02-03,2,3,1,75,1,4,3,3,0,89,15,1,72,0,15,43,2,14,0,10,7,36,2,5
5,2013-02-10,3,2,0,78,2,3,2,2,0,67,13,1,76,0,11,45,1,17,1,8,6,29,0,4
6,2013-02-17,3,7,0,80,2,3,2,1,0,58,16,1,74,0,16,46,1,12,1,10,8,32,2,4
7,2013-02-24,3,4,1,80,2,3,2,2,0,60,14,1,76,0,10,46,1,17,1,10,7,28,5,7
8,2013-03-03,3,2,0,89,1,5,2,2,0,61,17,1,77,0,10,50,1,16,1,8,5,32,4,6
9,2013-03-10,4,1,0,80,2,2,3,2,1,51,17,1,76,0,12,53,2,14,0,10,4,28,4,2
10,2013-03-17,2,3,0,89,1,3,1,2,0,50,15,2,71,0,12,53,1,13,0,10,22,25,2,4
11,2013-03-24,3,3,1,78,2,3,1,2,0,41,19,2,97,0,12,46,1,14,1,9,6,39,3,5
12,2013-03-31,2,2,0,79,1,3,1,3,0,47,13,1,76,0,10,45,1,13,1,10,3,37,3,7
13,2013-04-07,3,2,0,86,1,3,2,3,0,67,16,1,81,0,11,45,1,12,1,8,7,33,4,4
14,2013-04-14,3,2,0,83,1,2,1,1,0,68,16,2,71,0,10,43,1,14,1,9,3,37,3,6
15,2013-04-21,3,2,0,80,1,3,2,4,0,30,16,2,79,0,11,51,1,13,1,10,3,38,8,4
16,2013-04-28,2,2,0,76,1,2,3,2,0,30,16,2,77,0,12,43,1,13,0,9,6,42,5,7
17,2013-05-05,3,2,1,82,1,2,2,3,0,32,17,2,73,0,12,43,1,15,0,8,8,47,4,6
18,2013-05-12,2,2,0,89,1,3,2,3,1,30,16,1,74,0,12,50,1,17,0,10,5,29,4,7
19,2013-05-19,2,2,1,84,2,2,2,3,0,22,15,1,72,0,14,45,1,13,1,10,6,22,4,4
20,2013-05-26,2,2,0,84,1,2,2,2,0,21,11,1,77,0,11,50,1,11,1,10,7,28,4,4
21,2013-06-02,3,2,1,86,1,3,1,3,0,27,14,1,74,0,13,49,1,11,0,11,7,23,2,6
22,2013-06-09,3,2,0,90,1,3,2,2,0,22,14,1,71,0,9,53,1,12,1,10,3,26,4,6
23,2013-06-16,2,1,1,92,1,2,3,4,0,21,9,2,65,0,12,53,1,15,1,9,4,30,4,7
24,2013-06-23,4,2,1,92,1,2,1,4,0,26,17,1,79,0,10,56,1,13,1,10,3,35,2,8
25,2013-06-30,3,1,0,85,1,2,2,3,0,22,14,1,77,0,11,52,1,14,0,11,4,31,3,7
26,2013-07-07,2,2,0,93,2,2,2,3,0,25,14,1,70,0,13,51,1,13,1,9,7,25,4,5
27,2013-07-14,2,1,0,91,1,3,2,2,1,30,16,1,69,0,15,53,1,11,0,9,4,32,4,9
28,2013-07-21,2,3,0,87,2,3,3,2,0,31,20,1,70,0,11,49,1,11,0,8,7,31,8,11
29,2013-07-28,3,2,0,89,1,3,2,2,0,50,14,1,71,0,14,53,1,12,1,8,6,32,4,4
30,2013-08-04,3,2,0,79,1,3,1,2,0,33,14,1,78,0,13,48,1,13,1,9,8,23,4,5
31,2013-08-11,3,2,0,79,2,2,2,3,1,26,15,1,80,0,14,48,1,14,0,10,6,27,6,6
32,2013-08-18,3,2,0,80,1,2,2,2,1,27,13,1,82,0,12,49,1,9,1,8,7,21,6,8
33,2013-08-25,3,2,1,73,2,2,2,2,0,23,16,1,74,0,14,44,1,13,1,9,10,33,6,3
34,2013-09-01,2,2,0,79,1,3,2,3,0,21,15,1,80,0,8,48,1,13,1,10,6,23,6,6
35,2013-09-08,4,2,1,76,2,3,1,4,0,27,14,1,79,0,10,45,1,12,1,9,4,30,6,4
36,2013-09-15,2,3,0,77,1,3,2,3,0,26,16,1,73,0,12,43,1,11,1,9,5,29,4,2
37,2013-09-22,3,2,1,77,1,2,2,3,1,21,14,1,75,0,11,48,1,12,1,11,5,26,6,6
38,2013-09-29,4,2,0,74,1,1,2,4,1,26,19,1,75,0,16,48,2,12,1,8,6,24,6,6
39,2013-10-06,2,2,0,74,1,3,1,2,1,29,16,1,87,0,14,46,1,13,1,8,6,34,2,4
40,2013-10-13,2,2,0,75,1,2,2,3,0,28,18,2,85,0,10,46,1,13,1,10,8,39,7,6
41,2013-10-20,3,1,0,75,1,1,2,2,0,29,19,1,85,0,9,48,2,12,1,8,5,40,6,3
42,2013-10-27,2,1,1,74,1,2,3,2,0,25,18,2,77,0,11,46,1,14,0,8,5,45,3,7
43,2013-11-03,3,2,0,73,1,2,2,2,0,25,18,2,76,0,13,42,1,13,1,9,8,35,5,4
44,2013-11-10,2,1,1,83,1,3,2,3,0,29,17,2,75,0,13,41,1,15,1,11,5,33,6,6
45,2013-11-17,2,2,1,75,2,2,2,2,0,25,16,1,78,0,10,42,1,18,0,8,4,25,7,0
46,2013-11-24,2,2,0,72,1,2,1,1,0,19,14,1,90,0,9,45,1,17,0,10,4,34,2,4
47,2013-12-01,2,8,0,69,2,3,1,2,0,22,14,1,81,0,9,47,1,11,0,10,7,31,5,5
48,2013-12-08,3,8,0,70,1,2,2,3,0,21,13,1,78,0,10,47,1,13,1,8,8,35,2,4
49,2013-12-15,3,1,0,68,1,2,2,3,0,25,14,1,87,0,10,42,1,13,0,10,5,31,2,5
50,2013-12-22,2,2,1,73,1,3,1,3,0,22,13,1,89,0,10,45,1,22,0,9,6,42,3,6
51,2013-12-29,2,2,1,83,1,2,1,4,0,30,18,2,86,0,12,46,1,22,1,10,5,37,2,4
52,2014-01-05,3,7,0,81,1,2,1,3,0,31,16,1,87,0,13,46,1,13,1,9,9,34,3,4
53,2014-01-12,3,3,0,77,1,2,2,2,0,45,18,1,84,0,12,48,1,15,1,10,7,37,2,6
54,2014-01-19,2,4,0,77,1,2,2,4,0,54,16,1,80,0,12,48,1,14,1,9,6,38,2,3
55,2014-01-26,3,3,1,81,1,2,1,2,1,64,19,2,88,0,14,48,1,14,1,11,6,39,3,4
56,2014-02-02,2,11,0,69,1,2,1,2,0,84,14,1,82,0,11,44,1,12,0,10,4,37,5,2
57,2014-02-09,3,3,1,72,1,3,2,2,0,65,18,1,84,0,10,52,1,21,1,9,5,31,3,5
58,2014-02-16,3,2,1,72,1,2,2,1,0,65,18,1,85,0,9,51,0,15,0,9,3,33,6,6
59,2014-02-23,4,4,1,80,1,4,3,3,0,64,15,1,84,0,10,49,1,16,0,8,9,34,2,5
60,2014-03-02,2,7,1,86,2,2,1,1,0,50,17,0,87,0,9,48,1,16,0,9,6,35,4,3
61,2014-03-09,2,2,0,78,1,2,1,2,0,44,16,1,80,0,13,51,1,16,1,11,8,38,5,7
62,2014-03-16,3,2,1,83,1,3,1,2,0,43,15,1,80,0,10,51,1,15,0,9,7,36,3,3
63,2014-03-23,3,2,1,77,1,1,2,2,0,44,16,1,97,0,11,46,1,16,1,11,7,38,4,2
64,2014-03-30,3,2,0,75,1,3,2,1,0,49,19,2,87,0,9,47,1,18,1,10,5,36,3,6
65,2014-04-06,3,2,1,76,2,3,2,2,0,58,16,2,79,0,9,50,1,18,1,9,5,23,4,7
66,2014-04-13,2,2,1,75,1,2,1,3,0,70,15,1,100,0,8,45,1,18,0,8,4,49,8,6
67,2014-04-20,3,2,0,78,1,2,2,3,0,28,16,2,89,0,8,44,1,19,1,10,7,46,5,2
68,2014-04-27,3,2,0,72,1,2,2,3,0,26,18,1,87,0,11,51,1,18,1,8,3,49,5,4
69,2014-05-04,2,3,0,79,1,2,2,2,0,23,17,1,87,0,9,49,1,20,0,8,4,56,5,7
70,2014-05-11,4,3,0,72,1,3,1,2,0,25,17,1,83,0,12,51,1,23,0,9,4,46,2,4
71,2014-05-18,3,2,0,80,1,4,1,3,0,24,14,1,80,0,11,53,1,16,1,9,7,67,6,5
72,2014-05-25,3,2,0,87,1,1,2,3,0,18,11,0,75,0,8,50,1,16,1,9,7,100,2,3
73,2014-06-01,2,3,0,79,1,2,2,2,0,24,14,1,80,0,7,58,1,14,0,9,7,51,3,6
74,2014-06-08,3,1,1,82,1,1,2,2,0,27,16,1,80,0,7,55,1,13,1,10,6,48,4,3
75,2014-06-15,3,2,1,87,1,2,2,2,0,22,14,1,79,0,6,51,0,16,0,12,3,51,3,6
76,2014-06-22,3,2,0,90,1,2,2,2,1,24,13,2,71,0,9,53,1,12,0,8,4,31,3,4
77,2014-06-29,3,3,1,77,1,2,1,2,0,21,14,1,74,0,7,56,1,13,0,10,4,44,2,6
78,2014-07-06,2,2,1,75,2,3,1,1,0,22,14,1,74,0,8,53,1,13,1,8,7,37,2,4
79,2014-07-13,3,2,0,66,1,2,1,1,0,23,14,1,68,0,6,45,1,11,1,9,10,32,0,5
80,2014-07-20,3,2,1,66,1,2,1,1,1,21,14,1,66,0,6,48,1,12,1,8,6,33,2,6
81,2014-07-27,2,2,0,68,1,2,2,2,0,36,13,1,64,0,7,46,1,12,0,8,8,35,3,3
82,2014-08-03,3,2,1,61,1,2,2,2,0,20,12,1,71,0,6,45,1,11,1,9,2,32,4,3
83,2014-08-10,3,2,0,62,1,2,2,2,1,19,13,1,66,0,5,46,1,12,0,8,7,32,5,6
84,2014-08-17,2,2,0,62,1,2,2,2,0,18,11,1,67,0,5,39,0,13,1,9,6,31,4,3
85,2014-08-24,3,2,0,64,1,3,2,2,0,16,12,2,62,0,5,41,1,13,0,8,6,28,4,3
86,2014-08-31,2,2,0,62,1,1,1,1,0,18,12,1,72,0,5,39,0,13,0,8,5,33,3,4
87,2014-09-07,3,3,1,60,2,1,2,2,0,20,10,2,72,0,6,36,0,15,0,8,6,28,3,3
88,2014-09-14,3,2,1,62,1,3,1,1,0,21,13,1,68,0,6,38,1,17,0,7,7,40,3,4
89,2014-09-21,2,1,0,61,1,2,2,3,0,19,13,1,71,0,5,39,1,15,1,7,4,36,3,5
90,2014-09-28,3,2,0,64,1,1,2,1,0,19,14,1,71,0,8,41,1,18,1,8,3,30,3,4
91,2014-10-05,3,1,1,60,1,2,1,2,0,19,13,1,73,0,6,39,1,16,1,8,4,35,6,3
92,2014-10-12,3,1,1,59,1,1,2,1,0,22,14,1,68,0,7,41,1,16,0,7,3,38,4,5
93,2014-10-19,2,2,0,58,1,2,1,1,0,20,13,1,65,0,6,38,1,19,1,6,6,35,1,3
94,2014-10-26,3,2,0,60,1,1,2,1,0,19,13,1,63,0,5,39,1,20,1,8,5,30,3,6
95,2014-11-02,3,2,0,62,1,1,1,2,0,20,16,1,67,0,5,40,1,17,1,8,5,37,2,5
96,2014-11-09,2,2,0,65,1,2,2,2,0,22,14,1,61,0,7,35,1,17,0,8,3,35,6,3
97,2014-11-16,3,3,0,61,1,2,1,1,0,22,15,1,69,0,5,36,1,16,0,8,5,33,2,4
98,2014-11-23,2,2,0,64,1,1,1,2,0,16,13,1,61,0,4,39,1,21,1,9,6,36,3,3
99,2014-11-30,3,2,1,62,1,2,1,3,0,19,13,1,71,0,6,39,1,13,0,9,4,31,3,3
