,date,anxiety,closing,entrepreneur,home,startup,bankruptcy,compensation,fired,layoff,tax,benefits,confidence,good,pink slip,unemployment,car,expect,happy,start business,better,worse,future,expectations,interest rate
0,2013-01-06,2,2,1,81,2,1,2,3,1,43,16,1,70,0,16,68,2,30,0,13,10,28,3,3
1,2013-01-13,4,2,0,82,1,4,2,3,0,46,13,2,69,0,14,63,1,24,0,15,6,21,2,5
2,2013-01-20,3,3,0,80,2,2,2,2,0,68,14,1,73,0,16,77,1,21,0,14,7,19,0,2
3,2013-01-27,3,7,1,73,0,2,2,2,1,93,19,1,71,0,16,72,2,29,0,17,3,26,3,0
4,2013-02-03,4,3,0,74,1,3,2,4,0,97,15,2,74,0,10,71,2,34,0,10,9,29,0,5
5,2013-02-10,2,3,1,74,1,3,2,3,0,86,16,1,61,0,13,66,1,40,0,11,4,21,4,3
6,2013-02-17,3,5,1,68,1,5,3,3,0,65,13,0,77,0,9,67,1,28,0,14,5,14,3,2
7,2013-02-24,3,4,0,70,0,2,2,2,0,57,16,1,71,0,6,64,2,30,0,15,3,17,3,2
8,2013-03-03,2,2,0,74,1,2,2,2,1,48,16,0,65,0,12,61,1,32,0,12,7,25,2,7
9,2013-03-10,2,2,0,76,2,3,3,4,0,50,15,2,67,0,9,74,1,29,0,16,6,23,2,4
10,2013-03-17,2,2,2,72,1,3,1,3,0,47,13,3,76,0,9,72,2,35,0,12,4,18,6,7
11,2013-03-24,2,3,1,73,2,1,3,3,0,38,16,2,100,0,9,64,2,35,0,10,6,20,3,4
12,2013-03-31,2,2,0,85,1,2,2,3,1,53,13,2,78,0,7,64,3,31,0,13,5,22,3,3
13,2013-04-07,3,1,0,76,1,4,1,3,1,65,21,2,65,0,14,72,1,27,0,13,7,22,2,4
14,2013-04-14,2,2,1,74,1,1,3,2,1,48,17,1,74,0,6,68,2,26,0,14,4,26,2,5
15,2013-04-21,3,2,0,77,1,2,2,2,0,23,13,2,76,0,9,65,2,30,0,14,4,17,7,7
16,2013-04-28,2,2,0,84,2,3,3,3,0,27,13,1,80,0,9,59,1,32,0,17,4,31,3,6
17,2013-05-05,4,2,1,82,1,2,2,3,1,22,13,1,75,0,9,67,1,30,0,12,3,26,5,4
18,2013-05-12,2,1,0,76,1,3,1,4,0,21,15,2,77,0,9,71,2,37,0,11,4,21,4,3
19,2013-05-19,1,1,1,74,2,1,1,1,0,23,14,1,71,0,6,70,2,30,0,14,6,20,3,0
20,2013-05-26,2,2,1,81,1,2,1,1,1,15,11,1,72,0,12,67,1,27,0,15,12,28,0,8
21,2013-06-02,3,1,0,76,1,3,1,2,1,16,9,2,75,0,7,71,1,29,0,13,4,19,3,8
22,2013-06-09,2,1,1,72,2,4,2,3,0,23,11,1,77,0,9,77,1,23,0,13,5,18,3,5
23,2013-06-16,3,1,1,78,1,2,2,5,1,17,13,2,63,0,7,68,1,28,0,15,5,15,3,0
24,2013-06-23,1,2,1,78,1,2,3,7,0,24,12,0,69,0,11,74,1,24,0,17,10,21,5,4
25,2013-06-30,3,3,1,77,1,2,3,5,0,16,11,0,82,0,9,63,3,28,0,11,4,20,0,3
26,2013-07-07,3,2,1,80,1,3,2,3,1,22,13,1,62,0,6,79,3,24,0,14,4,19,0,3
27,2013-07-14,1,1,0,74,2,4,3,4,0,20,10,1,71,0,9,64,2,23,0,16,8,12,0,0
28,2013-07-21,2,2,0,71,1,2,4,5,1,23,9,3,72,0,12,79,3,22,0,14,7,26,0,5
29,2013-07-28,3,2,0,75,1,1,1,1,0,39,17,1,75,0,9,82,1,27,0,16,10,29,5,3
30,2013-08-04,2,4,0,70,2,3,2,5,1,20,10,0,70,0,12,70,2,24,0,16,5,16,5,5
31,2013-08-11,3,3,0,66,1,2,0,3,0,23,12,0,65,0,11,81,1,20,0,14,4,18,3,5
32,2013-08-18,3,1,1,72,1,5,2,2,0,19,11,2,75,0,10,73,3,28,0,12,0,26,3,5
33,2013-08-25,3,3,1,66,2,1,3,2,0,15,12,0,64,0,7,66,2,29,0,11,4,26,5,5
34,2013-09-01,2,1,1,70,2,2,2,3,0,22,12,2,87,0,13,71,2,28,0,15,4,15,3,3
35,2013-09-08,2,3,1,70,1,1,2,2,1,21,10,1,65,0,9,72,2,28,0,16,8,25,3,3
36,2013-09-15,3,1,1,66,1,1,2,2,0,20,11,1,72,0,8,61,2,32,0,11,2,18,7,3
37,2013-09-22,2,2,0,64,1,3,2,3,0,18,14,1,78,0,10,75,2,26,0,15,3,19,4,4
38,2013-09-29,4,1,0,66,0,2,2,3,0,18,14,2,80,0,16,62,1,31,0,15,5,18,2,4
39,2013-10-06,3,2,0,66,2,1,2,2,0,21,15,1,82,0,10,61,2,28,0,15,5,18,3,0
40,2013-10-13,2,1,1,69,1,2,2,3,0,20,12,2,69,0,11,68,1,32,0,11,5,22,6,5
41,2013-10-20,3,3,0,70,0,2,1,3,0,24,18,1,76,0,8,69,2,29,0,13,9,26,3,4
42,2013-10-27,1,4,0,67,1,2,1,2,0,21,15,1,81,0,7,68,1,32,0,15,4,21,2,6
43,2013-11-03,3,2,0,72,1,2,2,2,0,19,19,2,80,0,9,61,2,27,0,14,8,15,2,4
44,2013-11-10,5,2,0,63,0,2,2,3,0,24,16,3,80,0,8,58,2,31,0,17,5,22,3,5
45,2013-11-17,3,2,0,77,2,2,2,3,0,20,15,2,77,0,11,67,1,31,0,16,4,17,2,5
46,2013-11-24,2,1,0,80,1,2,1,2,0,18,13,1,81,0,9,72,2,38,0,17,3,21,5,0
47,2013-12-01,3,2,0,77,2,2,1,2,1,23,17,1,99,0,12,79,1,28,0,12,4,21,4,7
48,2013-12-08,4,2,1,76,2,3,2,2,0,27,14,2,88,0,13,73,4,31,0,16,4,19,2,8
49,2013-12-15,2,2,0,74,1,1,1,5,0,28,14,1,88,0,15,69,1,34,0,13,4,18,2,2
50,2013-12-22,1,3,0,77,3,2,1,3,0,16,9,2,85,0,14,74,2,40,0,14,3,22,0,5
51,2013-12-29,3,3,0,86,3,1,2,6,0,32,13,3,80,0,18,74,2,41,0,15,3,22,2,5
52,2014-01-05,3,7,0,74,0,2,1,4,0,28,14,1,81,0,25,75,2,29,0,11,3,23,2,0
53,2014-01-12,3,2,0,83,1,1,4,3,0,50,17,2,84,0,19,77,1,22,0,14,4,24,2,5
54,2014-01-19,3,15,0,78,2,2,2,4,1,53,15,1,88,0,15,64,2,27,0,18,4,24,2,3
55,2014-01-26,2,18,1,75,2,2,3,2,1,85,17,1,75,0,16,66,2,25,0,13,4,29,3,6
56,2014-02-02,4,8,1,78,1,2,3,3,2,88,18,1,75,0,20,61,3,21,0,11,6,26,2,4
57,2014-02-09,3,4,1,75,2,3,1,3,1,75,14,2,76,0,14,77,1,36,0,12,4,23,3,4
58,2014-02-16,3,9,0,72,2,2,2,1,0,61,16,1,83,0,14,68,2,33,0,12,4,19,4,3
59,2014-02-23,2,5,0,82,2,2,2,4,0,59,13,1,84,0,17,71,2,32,0,13,6,23,3,2
60,2014-03-02,3,3,1,75,1,3,3,2,1,48,21,1,86,0,15,73,1,38,0,11,6,29,3,5
61,2014-03-09,3,4,0,85,1,1,2,2,0,51,16,1,79,0,12,79,1,33,0,12,2,21,2,3
62,2014-03-16,4,2,0,77,2,2,1,1,0,40,16,1,78,0,14,75,2,36,0,15,4,24,2,3
63,2014-03-23,3,2,0,88,0,2,3,3,0,45,17,1,87,0,14,81,2,34,0,14,2,24,4,4
64,2014-03-30,2,3,0,85,0,2,2,5,0,46,12,2,84,0,14,68,2,32,0,15,4,24,2,8
65,2014-04-06,3,2,0,79,2,2,3,3,0,57,13,2,80,0,16,71,1,35,0,13,6,21,4,2
66,2014-04-13,2,3,0,75,1,2,1,2,0,60,15,2,85,0,9,69,2,33,0,18,5,26,3,4
67,2014-04-20,2,2,0,82,1,2,3,3,1,23,16,2,81,0,14,70,2,39,0,16,6,24,5,6
68,2014-04-27,2,2,0,77,1,3,4,3,0,25,14,1,81,0,12,72,2,29,0,14,3,32,3,10
69,2014-05-04,4,2,0,86,1,1,1,2,1,25,19,2,73,0,12,72,1,34,0,10,5,23,6,3
70,2014-05-11,3,3,0,65,1,3,2,2,1,20,13,2,76,0,10,81,1,40,0,15,5,34,0,8
71,2014-05-18,4,2,0,71,2,1,2,3,0,18,12,2,83,0,12,77,1,36,0,14,7,37,2,4
72,2014-05-25,2,3,0,87,1,3,1,3,1,18,10,1,67,0,9,78,1,38,0,14,0,45,3,5
73,2014-06-01,3,1,0,82,1,4,3,5,1,19,12,2,61,0,13,77,1,30,0,14,5,29,3,7
74,2014-06-08,3,2,1,83,2,2,1,7,0,22,14,1,68,0,8,74,2,30,0,11,5,24,2,3
75,2014-06-15,2,3,0,86,3,2,3,2,1,21,13,3,65,0,10,80,1,33,0,11,6,18,3,3
76,2014-06-22,2,1,0,80,1,2,2,3,0,19,15,2,69,0,9,82,2,28,0,15,3,24,3,7
