,date,microsoft excel,customer service,microsoft office,scheduling,sales,budgeting,supervisory skills,project management,microsoft word,customer contact,microsoft powerpoint,repair,accounting,retail setting,staff management,SQL,software development,cleaning,data entry,inspection,JAVA
60,2012-01-01,6,34,34,2,59,1,0,1,17,0,0,62,49,0,0,39,0,60,0,17,42
61,2012-02-01,7,32,38,8,70,1,0,2,16,0,0,60,51,0,0,44,0,58,0,14,48
62,2012-03-01,5,38,30,6,66,1,0,2,14,0,0,55,39,0,0,44,0,71,0,17,50
63,2012-04-01,5,41,28,4,67,1,0,2,12,0,0,65,36,0,0,57,0,67,0,7,58
64,2012-05-01,5,39,24,4,64,1,0,3,12,0,0,74,29,0,0,50,0,87,0,13,41
65,2012-06-01,7,52,20,4,72,1,0,1,14,0,0,77,24,0,0,54,0,74,0,16,45
66,2012-07-01,4,48,22,4,74,2,0,3,11,0,0,76,22,0,0,41,0,63,0,24,35
67,2012-08-01,4,48,33,3,66,1,0,2,9,0,0,75,37,0,0,48,0,69,0,19,52
68,2012-09-01,5,46,29,6,58,1,0,2,16,0,0,69,47,0,0,30,0,50,0,12,60
69,2012-10-01,6,49,31,5,66,0,0,1,14,0,0,61,38,0,0,45,0,63,0,10,48
70,2012-11-01,3,54,23,6,75,1,0,2,13,0,0,56,24,0,0,38,0,48,0,12,44
71,2012-12-01,3,44,20,5,57,2,0,2,11,0,0,55,26,0,0,40,0,59,0,12,39
72,2013-01-01,5,49,28,5,56,1,0,1,12,0,0,56,32,0,0,47,0,57,0,12,66
73,2013-02-01,5,47,33,5,67,0,0,2,13,0,0,64,40,0,0,41,0,44,0,6,67
74,2013-03-01,3,46,24,2,61,1,0,1,11,0,0,63,39,0,0,39,0,57,0,10,50
75,2013-04-01,6,43,22,3,66,1,0,2,13,0,0,68,35,0,0,33,0,71,0,16,53
76,2013-05-01,5,51,24,6,66,1,0,1,13,0,0,78,29,0,0,34,0,75,0,18,53
77,2013-06-01,3,61,20,4,72,2,0,2,10,0,0,79,15,0,0,35,0,82,0,17,49
78,2013-07-01,3,61,27,6,65,1,0,1,11,0,0,90,20,0,0,40,0,71,0,22,43
79,2013-08-01,4,51,23,6,70,1,0,2,8,0,0,73,29,0,0,40,0,78,0,13,43
80,2013-09-01,5,66,32,5,63,1,0,2,17,0,0,72,39,0,0,26,0,74,0,17,43
81,2013-10-01,5,53,33,4,57,1,0,2,13,0,0,75,45,0,0,31,0,80,0,11,57
82,2013-11-01,3,56,25,4,71,0,0,1,13,0,0,68,31,0,0,29,0,58,0,14,53
83,2013-12-01,3,68,32,2,56,1,0,1,13,0,0,75,28,0,0,23,0,53,0,10,42
84,2014-01-01,5,63,29,4,52,1,0,1,11,0,0,78,42,0,0,33,0,66,0,13,52
85,2014-02-01,5,59,24,4,59,1,0,2,14,0,0,68,46,0,0,39,0,58,0,13,50
86,2014-03-01,5,55,19,5,58,1,0,2,7,0,0,66,41,0,0,32,0,64,0,11,42
87,2014-04-01,6,53,30,5,61,1,0,1,11,0,0,66,41,0,0,28,0,65,0,17,47
88,2014-05-01,4,64,23,4,68,1,0,1,10,0,0,67,33,0,0,30,0,73,0,19,47
89,2014-06-01,5,64,24,4,74,1,0,1,10,0,0,81,23,0,0,39,0,82,0,21,45
90,2014-07-01,5,67,20,4,69,1,0,2,8,0,0,90,19,0,0,38,0,76,0,18,50
91,2014-08-01,8,63,30,3,69,0,0,1,9,0,0,73,26,0,0,39,0,76,0,19,46
92,2014-09-01,3,77,25,5,67,1,0,1,12,0,0,76,42,0,0,42,0,71,0,17,40
93,2014-10-01,3,71,30,3,66,2,0,2,10,0,0,62,41,0,0,42,0,63,0,22,48
94,2014-11-01,5,67,25,3,66,1,0,1,10,0,0,65,30,0,0,35,0,58,0,16,46
95,2014-12-01,4,80,28,5,61,1,0,2,12,0,0,62,34,0,0,32,0,72,0,12,36
96,2015-01-01,5,66,22,3,59,1,0,1,9,0,0,62,35,0,0,40,0,76,0,16,39
97,2015-02-01,6,63,19,4,57,1,0,2,11,0,0,68,51,0,0,33,0,73,0,21,47
98,2015-03-01,5,72,21,6,63,0,0,2,13,0,0,72,33,0,0,41,0,69,0,18,38
99,2015-04-01,2,66,16,5,66,1,0,2,6,0,0,70,33,0,0,47,0,75,0,18,44
100,2015-05-01,3,69,20,5,70,1,0,2,9,0,0,69,32,0,0,34,0,69,0,13,37
101,2015-06-01,4,83,16,5,69,1,0,2,6,0,0,90,28,0,0,43,0,100,0,17,30
102,2015-07-01,3,68,23,6,74,1,0,1,8,0,0,91,21,0,0,34,0,92,0,24,29
103,2015-08-01,4,62,26,4,69,1,0,1,7,0,0,83,30,0,0,31,0,79,0,16,33
104,2015-09-01,4,72,21,6,64,1,0,2,13,0,0,73,40,0,0,35,0,74,0,14,36
105,2015-10-01,3,73,19,4,55,1,0,2,12,0,0,75,36,0,0,36,0,75,0,15,39
106,2015-11-01,5,77,26,4,72,1,0,2,10,0,0,70,29,0,0,28,0,68,0,11,35
107,2015-12-01,3,91,16,5,57,1,0,1,12,0,0,75,34,0,0,36,0,59,0,12,31
108,2016-01-01,5,74,16,4,57,1,0,1,10,0,0,69,37,0,0,26,0,72,0,13,26
109,2016-02-01,3,64,16,4,64,1,0,2,8,0,0,63,40,0,0,32,0,67,0,16,28
110,2016-03-01,4,79,15,4,60,1,0,1,9,0,0,70,36,0,0,35,0,79,0,16,28
111,2016-04-01,3,73,13,4,68,1,0,1,7,0,0,76,31,0,0,26,0,82,0,14,34
112,2016-05-01,2,74,13,4,66,1,0,1,7,0,0,85,27,0,0,35,0,95,0,21,23
113,2016-06-01,3,74,13,4,67,0,0,1,7,0,0,95,22,0,0,34,0,87,0,25,24
114,2016-07-01,4,84,7,5,65,1,0,1,5,0,0,94,24,0,0,26,0,82,0,16,23
115,2016-08-01,3,80,14,5,62,0,0,1,7,0,0,86,24,0,0,31,0,95,0,22,20
116,2016-09-01,4,77,12,3,55,1,0,1,9,0,0,80,40,0,0,23,0,71,0,16,26
117,2016-10-01,2,69,14,4,57,1,0,1,6,0,0,74,29,0,0,25,0,62,0,17,25
118,2016-11-01,3,73,10,4,67,1,0,1,7,0,0,72,30,0,0,27,0,71,0,11,25
119,2016-12-01,2,92,12,4,47,1,0,2,6,0,0,76,25,0,0,22,0,65,0,11,15
120,2017-01-01,3,81,11,4,57,0,0,1,7,0,0,74,35,0,0,25,0,76,0,17,24
121,2017-02-01,2,89,17,4,60,1,0,2,8,0,0,70,40,0,0,28,0,61,0,18,26
122,2017-03-01,1,84,15,4,62,0,0,1,8,0,0,76,37,0,0,31,0,75,0,21,24
123,2017-04-01,2,78,11,3,71,1,0,1,7,0,0,90,37,0,0,24,0,81,0,18,29
124,2017-05-01,2,85,10,4,69,1,0,1,6,0,0,89,27,0,0,28,0,83,0,17,24
125,2017-06-01,3,94,8,3,67,1,0,1,4,0,0,93,22,0,0,31,0,98,0,15,19
126,2017-07-01,3,93,9,4,71,1,0,1,4,0,0,94,24,0,0,26,0,82,0,16,14
127,2017-08-01,2,92,12,5,63,1,0,1,6,0,0,100,27,0,0,28,0,89,0,13,16
128,2017-09-01,2,100,15,4,65,0,0,1,7,0,0,80,40,0,0,24,0,77,0,15,16
129,2017-10-01,3,89,9,4,61,1,0,2,7,0,0,81,35,0,0,24,0,66,0,17,21
130,2017-11-01,1,88,13,4,68,1,0,1,7,0,0,76,30,0,0,23,0,73,0,17,22
131,2017-12-01,1,95,10,4,54,1,0,1,6,0,0,68,24,0,0,20,0,66,0,14,18
